query_accession,query_ec,query_l1,query_l2,query_l3,query_l4,nearest_train_accession,nearest_train_ec,nearest_cosine,same_l1,same_l2,same_l3,same_l4
A0A5Q0QSI8,4.2.3.88,4,4.2,4.2.3,4.2.3.88,A8NU13,4.2.3.127; 4.2.3.128; 4.2.3.129; 4.2.3.91,0.984379,True,True,True,False
A0A5Q0QP64,4.2.3.15;4.2.3.127,4,4.2,4.2.3,4.2.3.15,A8NU13,4.2.3.127; 4.2.3.128; 4.2.3.129; 4.2.3.91,0.990113,True,True,True,False
A0A5Q0QU70,4.2.3.125,4,4.2,4.2.3,4.2.3.125,A8NE23,4.2.3.125; 4.2.3.126; 4.2.3.23,0.987462,True,True,True,True
A0A5Q0QNJ2,4.2.3.88,4,4.2,4.2.3,4.2.3.88,S0DX56,4.2.3.164,0.984237,True,True,True,False
A0A5Q0QRJ3,4.2.3.125,4,4.2,4.2.3,4.2.3.125,P0DL13,4.2.3.135,0.980587,True,True,True,False
P9WEW2,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.985507,True,True,True,True
A0A4S8MAF3,4.2.3.135,4,4.2,4.2.3,4.2.3.135,Q6WP50,4.2.3.74,0.980528,True,True,True,False
P9WEV7,2.5.1.29,2,2.5,2.5.1,2.5.1.29,A1C8C3,4.2.3.145,0.984835,False,False,False,False
P9WEU5,4.2.1.66,4,4.2,4.2.1,4.2.1.66,Q96UG7,4.2.1.66,0.98966,True,True,True,True
P9WEW0,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.981766,True,True,True,True
P9WEV6,2.5.1.29,2,2.5,2.5.1,2.5.1.29,A2PZA5,2.5.1.29; 4.2.3.43,0.985092,True,True,True,True
P9WEW1,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.985744,True,True,True,True
P9WEX3,2.5.1.10;2.5.1.1;2.5.1.29,2,2.5,2.5.1,2.5.1.10,Q9P885,2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29,0.985384,True,True,True,False
P9WEX9,2.5.1.10;2.5.1.1;2.5.1.29,2,2.5,2.5.1,2.5.1.10,Q9P885,2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29,0.983826,True,True,True,False
P9WEW8,2.5.1.10;2.5.1.1;2.5.1.29,2,2.5,2.5.1,2.5.1.10,Q6F5E6,2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29,0.982558,True,True,True,False
P0DUB9,3.1.1.3,3,3.1,3.1.1,3.1.1.3,P22088,3.1.1.3,0.989724,True,True,True,True
A0A348B788,4.2.3.7,4,4.2,4.2.3,4.2.3.7,P0DL13,4.2.3.135,0.981829,True,True,True,False
A0A348B790,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.985129,True,True,True,True
A0A348B780,4.2.3.125;4.2.3.127;4.2.3.133,4,4.2,4.2.3,4.2.3.125,A8NE23,4.2.3.125; 4.2.3.126; 4.2.3.23,0.982386,True,True,True,True
A0A348B782,4.2.3.100,4,4.2,4.2.3,4.2.3.100,A8NU13,4.2.3.127; 4.2.3.128; 4.2.3.129; 4.2.3.91,0.98402,True,True,True,False
A0A348B784,4.2.3.135,4,4.2,4.2.3,4.2.3.135,P0DL13,4.2.3.135,0.984519,True,True,True,True
A0A2U1KZS6,1.6.2.4,1,1.6,1.6.2,1.6.2.4,Q05001,1.6.2.4,0.98675,True,True,True,True
A0A2U1LIM9,1.6.2.4,1,1.6,1.6.2,1.6.2.4,P37116,1.6.2.4,0.988136,True,True,True,True
P0DUE2,2.7.7.65,2,2.7,2.7.7,2.7.7.65,P34031,5.99.1.3,0.972935,False,False,False,False
P0DUE3,2.7.7.65,2,2.7,2.7.7,2.7.7.65,Q4UKX5,5.99.1.3,0.970945,False,False,False,False
A0A5B8NIM2,5.4.99.5,5,5.4,5.4.99,5.4.99.5,Q9C544,5.4.99.5,0.99108,True,True,True,True
P0DUD9,3.2.2.5,3,3.2,3.2.2,3.2.2.5,O24301,2.4.1.13,0.974738,False,False,False,False
A0A6C0WW38,2.1.1.160,2,2.1,2.1.1,2.1.1.160,Q9FZN8,2.1.1.160,0.993042,True,True,True,True
A0A6C0WX00,2.1.1.159,2,2.1,2.1.1,2.1.1.159,Q9FZN8,2.1.1.160,0.992135,True,True,True,False
A0A2T5Y4G4,3.2.2.5,3,3.2,3.2.2,3.2.2.5,Q9RLM3,3.1.21.4,0.980948,True,False,False,False
P0DUE0,3.2.2.5,3,3.2,3.2.2,3.2.2.5,Q9RLM3,3.1.21.4,0.983194,True,False,False,False
P0DUE1,3.2.2.6,3,3.2,3.2.2,3.2.2.6,O00084,3.5.1.5,0.978908,True,False,False,False
P9WEY7,4.2.3.15;4.2.3.57;4.2.3.125,4,4.2,4.2.3,4.2.3.15,Q9AJE3,4.2.3.36,0.985153,True,True,True,False
P9WEY4,4.2.3.57;4.2.3.125,4,4.2,4.2.3,4.2.3.57,D8RNZ9,4.2.3.25; 4.2.3.48,0.98643,True,True,True,False
P0DUG4,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P84397,3.1.1.4,0.976667,True,True,True,True
A0A5P8DI07,4.2.3.131,4,4.2,4.2.3,4.2.3.131,Q6XDB5,4.2.3.119; 4.2.3.120,0.984941,True,True,True,False
A0A3G1QTS7,4.2.3.19,4,4.2,4.2.3,4.2.3.19,Q9SAK2,4.2.3.19,0.988028,True,True,True,True
A0A3G1QTU5,5.5.1.13,5,5.5,5.5.1,5.5.1.13,E2IHE0,4.2.1.133,0.984255,False,False,False,False
A0A5P8DHZ6,5.5.1.12,5,5.5,5.5.1,5.5.1.12,G3CCC0,4.2.1.133,0.987777,False,False,False,False
A0A5P8DI15,5.5.1.13,5,5.5,5.5.1,5.5.1.13,Q38802,5.5.1.13,0.985592,True,True,True,True
A0A345BJQ0,2.5.1.21,2,2.5,2.5.1,2.5.1.21,O74165,2.5.1.21,0.986647,True,True,True,True
A0A455LN84,1.5.1.39,1,1.5,1.5.1,1.5.1.39,Q9USJ6,1.5.1.39,0.983327,True,True,True,True
A0A455LLX4,1.5.1.39,1,1.5,1.5.1,1.5.1.39,Q9USJ6,1.5.1.39,0.983529,True,True,True,True
A0A6G9KIF9,1.13.11.52,1,1.13,1.13.11,1.13.11.52,P28776,1.13.11.52,0.988289,True,True,True,True
P0DUM0,4.3.1.24,4,4.3,4.3.1,4.3.1.24,O49835,4.3.1.24,0.984953,True,True,True,True
A0A345BJN2,3.1.1.1,3,3.1,3.1.1,3.1.1.1,P46882,1.4.3.4,0.972254,False,False,False,False
A0A345BJN1,4.3.1.24,4,4.3,4.3.1,4.3.1.24,O93967,4.3.1.24,0.989116,True,True,True,True
A0A2U7XUE3,5.5.1.6,5,5.5,5.5.1,5.5.1.6,Q8VZW3,5.5.1.6,0.984474,True,True,True,True
A0A2U7XUH7,5.5.1.6,5,5.5,5.5.1,5.5.1.6,Q8H0F6,5.5.1.6,0.981589,True,True,True,True
P0DUN5,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P84397,3.1.1.4,0.978812,True,True,True,True
P0DQQ0,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P0C8M1,3.1.1.4,0.99106,True,True,True,True
P0DQP9,3.1.1.4,3,3.1,3.1.1,3.1.1.4,D0UGJ0,3.1.1.4,0.981068,True,True,True,True
P0DUN0,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P86804,3.1.1.4,0.985638,True,True,True,True
P0DUN1,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P59265,3.1.1.4,0.990504,True,True,True,True
P0DQP6,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P18997,3.1.1.4,0.982524,True,True,True,True
P0DUN2,3.1.1.4,3,3.1,3.1.1,3.1.1.4,P86804,3.1.1.4,0.991055,True,True,True,True
A0A5S9I252,4.2.3.137;4.2.3.182;4.2.3.104;4.2.3.57,4,4.2,4.2.3,4.2.3.137,D8RNZ9,4.2.3.25; 4.2.3.48,0.983283,True,True,True,False
