cluster_id,size,split,representative
154,3,train,P15623
155,1,val,Q05688
156,2,train,P34751
157,18,train,O02604
158,5,train,A2YM35
159,255,train,A1BIZ8
160,122,train,A0KAZ7
161,210,train,A0KAG0
162,1485,train,A0AGP9
163,10,train,A0B3M8
164,1,train,Q44023
165,15,val,B8NWY6
166,1,train,Q44093
167,3,train,P21688
168,5,train,Q44273
169,1,train,Q44428
170,1,test,Q44492
171,1,train,Q44495
172,1,train,Q44558
173,1,train,Q44576
174,512,val,A0KAM1
175,522,train,A0AIG6
176,21,train,A3KP59
177,1,train,Q54KF3
178,1,train,Q54LH8
179,1,train,Q54LR6
180,1,train,Q54MH0
181,2,train,Q54MH8
182,1,val,Q54MV2
183,1,train,Q54MY9
184,1,train,Q54N73
185,3,train,Q54NB6
186,1,train,Q54ND5
187,1,train,Q54PK9
188,1,train,Q54QE4
189,1,train,Q54QG0
190,1,test,Q54QI2
191,3,train,Q2NL67
192,13,train,A7MBE4
193,5,val,P57078
194,1,train,Q5RF77
195,1,train,Q6AVN2
196,1,train,Q6AVZ9
197,1,val,Q6AYH3
198,13,train,O58231
199,11,test,Q7XA77
200,2,train,C7AU21
201,53,val,A5VPI9
202,4,train,A2YPT7
203,16,train,E1C5V0
204,1,test,Q7XLY8
205,2,train,B7ECS8
206,1,train,Q7XTV7
207,2,train,A2XW69
208,1,train,Q86IX1
209,206,train,A1L3K1
210,1,train,Q86PM4
211,4,train,D3ZGQ5
212,1,train,Q86T96
213,19,train,A9X1D0
214,1,train,Q86UK7
215,8,train,A6NNE9
216,1,train,Q86YT6
217,43,train,A0QVQ8
218,1,test,Q871A4
219,2,train,Q4WEP7
220,6,train,Q2U1H5
221,1,train,Q8G7X1
222,1,train,Q8G907
223,3,train,Q57662
224,15,train,A6VFM8
225,32,train,A0B471
226,31,train,A7MBU6
227,63,train,A3MVC9
228,4,val,O95237
229,3,train,O00187
230,3,train,Q9JJZ4
231,1,train,Q9JL16
232,4,train,O88907
233,3,train,P59644
234,2,train,Q7AJA5
235,4,train,B0B923
236,4,train,O84767
237,811,train,A0ALK8
238,4,train,P0AEY3
239,545,train,A0AJ67
240,5,train,B5YEL6
241,1,train,A0A1B4XBK0
242,502,train,A0AKC4
243,765,train,A0AHW2
244,459,train,A0AIA3
245,813,train,A0AI95
246,3,train,A2RHZ5
247,1,test,A7F0W2
248,781,train,A0AID2
249,166,train,A0JZC2
250,3,train,B3M268
251,548,train,A0JXB3
252,4,test,E9PT87
253,1,train,E9Q0N2
254,1,train,E9Q7F2
255,4,train,E9Q9A9
256,5,train,F0E1K6
257,236,test,A0BLX0
258,3,train,F1MM41
259,1,val,F1MRW8
260,12,train,F1N9Y5
261,653,train,A0A1P8B760
262,4,train,F1QGC8
263,5,train,F1QR43
264,3,train,O48700
265,1,train,O48837
266,1,val,O49500
267,11,train,A6QQ07
268,3,train,O95786
269,27,train,A6QP57
270,27,train,O60109
271,1,train,P11528
272,12,train,O27232
273,1,train,P11600
274,2,train,P0C0N0
275,1,test,P11727
276,1,train,P11804
277,2,train,P11837
278,1,train,P25582
279,1,train,P25710
280,3,train,P25736
281,2,train,P36204
282,708,train,A0AIV3
283,1,train,P36432
284,1,train,P36433
285,1,train,P36441
286,2,train,O31982
287,9,train,P35055
288,2,train,P36582
289,1,train,P36591
290,17,train,O26268
291,115,train,A0A0G2Q9F8
292,13,train,B5CY96
293,194,train,A0C1E4
294,1,train,P96771
295,5,train,O27434
296,1,val,P97207
297,1,train,P97224
298,11,train,P19468
299,3,train,O60733
300,1,train,Q03002
301,2,train,P20483
302,12,train,P07268
303,1,train,Q03032
304,10,val,A8X6H1
305,64,train,A5IQL3
306,1,train,Q03101
307,4,train,P21709
308,2,train,P08746
309,1,val,Q10724
310,1,train,Q10736
311,44,train,O09160
312,1,train,Q10B19
313,47,train,A0PMI0
314,6,train,Q10LI1
315,18,train,O81902
316,3,test,Q10SU5
317,345,train,A0B993
318,5,train,Q1RJQ6
319,5,test,Q1RMU2
320,1,train,Q3JSI8
321,1,test,Q5H071
322,2,train,Q5LZR6
323,1,train,Q5U780
324,8,test,G3KIM3
325,1,test,Q5UY62
326,2,train,Q18E49
327,1,train,Q5UZH5
328,470,train,A0A0H3KB98
329,3,train,P40386
330,1,train,Q67YI6
331,1,train,Q838U8
332,4,train,P04995
333,18,train,O22241
334,1,train,Q89AH3
335,10,train,P0DB58
336,2,train,Q8Q0G3
337,1,train,Q95RX5
338,3,train,O01404
339,1,train,Q95YM9
340,1,train,Q95ZV7
341,7,train,O82039
342,2,test,A8X679
343,1,train,Q9A716
344,10,test,O08557
345,13,train,P0A0T2
346,54,test,A1A7K6
347,14,train,F4HQM3
348,229,train,A0KF85
349,7,train,O88496
350,38,train,A1CHL0
351,1,test,Q9N289
352,3,train,Q8VYA1
353,7,train,P97259
354,1,train,Q9NH52
355,1,test,Q9NL38
356,1,train,Q9SQT8
357,232,val,A0KEX7
358,1,train,Q9SRQ8
359,4,train,Q5ZHY5
360,5,train,O48963
361,2,test,K7WIZ6
362,1,train,Q9SU29
363,116,test,A0KJH4
364,41,test,F4JLZ6
365,5,train,Q1RH40
366,4,val,O32178
367,1,train,Q9ZD46
368,508,train,A0AMG4
369,432,train,A0K9K6
370,98,train,A0KP35
371,3,val,A6TRS3
372,1,train,B0BLU1
373,570,train,A0AJM1
374,84,train,A1CL29
375,27,train,A1RRI0
376,10,val,A8A9B8
377,108,test,A2A1A0
378,1,train,O05156
379,2,train,A0A0H3MAA9
380,107,val,A0AIQ0
381,2,train,O34635
382,11,train,B9DGU7
383,4,train,O34673
384,2,test,O34757
385,132,train,A1AG09
386,2,train,O34813
387,9,train,A0R566
388,3,train,O34971
389,2,train,O35010
390,1,train,O35025
391,1,train,O35048
392,2,val,O94247
393,1,train,O94251
394,8,train,O48881
395,1,train,O94603
396,4,train,O94609
397,2,train,O94632
398,4,train,O94680
399,1,val,O94941
400,5,test,P0A6G3
401,1,train,P10887
402,15,train,A7E3S4
403,2,train,O68584
404,2,val,P11439
405,1,train,P23748
406,1,train,P23804
407,1,train,P23903
408,2,train,P23940
409,30,train,A8R3S4
410,1,test,P24075
411,1,train,P24114
412,9,train,P23388
413,1,train,P37197
414,3,train,P37352
415,1,train,P37475
416,4,test,D5TM67
417,49,train,A4IFJ5
418,8,train,P58003
419,1,train,P58101
420,198,train,A0KNL0
421,3,train,A0R5M8
422,6,train,A0AUR5
423,1,train,Q0IIM1
424,98,train,A0S5V9
425,9,test,P70218
426,3,train,Q12852
427,2,train,P39429
428,1,train,Q1JPB9
429,9,val,B0R8D5
430,1,val,Q26422
431,1,train,Q26486
432,1,train,Q26614
433,4,train,Q32KY6
434,1,test,Q49150
435,10,train,O27236
436,9,train,Q4R7G8
437,4,train,Q4R7I8
438,1,train,Q4R7K7
439,1,train,Q4R945
440,1,train,Q4TU14
441,44,train,A0A0K0JFP3
442,799,train,A0AEN2
443,5,train,Q1RK58
444,5,train,A5WW08
445,630,test,A0KEH8
446,1,train,Q5VRL3
447,17,train,A6NK06
448,2,train,Q4IER0
449,1,train,Q6C462
450,1,train,Q6C4C9
451,106,val,A2VDT1
452,1,train,Q6C519
453,59,val,A1C7T5
454,18,train,O74516
455,1177,test,A0A1D6GDY8
456,1,train,Q6CC11
457,2,val,P60354
458,1,train,Q8IW19
459,2,train,Q8CAS9
460,3,train,Q5I0E6
461,3,train,Q5Y5T3
462,1,train,Q8IYW5
463,16,train,O97799
464,29,train,A7GT16
465,3,train,Q724J4
466,1,train,Q99125
467,1,train,Q99316
468,10,train,D3ZSI8
469,2,train,Q61084
470,3,train,O35445
471,4,train,O95822
472,89,train,A3MSA1
473,780,train,A0AKJ8
474,105,train,A2BGT0
475,1,train,Q9LF64
476,1,train,Q9LFA2
477,27,train,C0LGD6
478,1,val,Q9LJK1
479,3,train,Q9LJL6
480,2,train,P43298
481,1,train,Q9UTH3
482,9,train,O88637
483,1,train,Q9UTK7
484,2,train,Q2U256
485,1,train,Q9UV68
486,34,train,E9PTT0
487,616,train,A0JVK2
488,21,train,A1C995
489,170,train,A0KGY4
490,5,train,A2RV01
491,2,train,A1AWS4
492,1,train,B1N1A2
493,1,train,B2WFD4
494,307,train,A0A0H2VA12
495,3,train,D2H788
496,1,train,D2HWM5
497,1,train,D2IYS2
498,11,val,O26820
499,31,train,A0RTV6
500,3,train,O28341
501,1,train,O80927
502,1,train,O81472
503,3,test,O82188
504,1,train,O82239
505,20,val,A1CIA7
506,1,train,P09232
507,2,train,O57672
508,32,train,O08680
509,2,train,P0C2D1
510,3,train,P0CJ40
511,1,train,P0DI91
512,1,train,P0DJJ5
513,1,train,P0DKH4
514,2,train,P0DKS9
515,1,train,P0DKT6
516,13,train,I7GQA7
517,28,train,C0LGD7
518,2,train,P23030
519,1,train,P23070
520,2,test,P23071
521,1,train,P23191
522,12,train,O94524
523,8,val,P08148
524,1,train,P36686
525,1,train,P36888
526,1,train,P49695
527,99,test,A4FUD9
528,1,val,P50045
529,1,train,P50046
530,224,val,A0R652
531,1,test,P58650
532,1,train,P58651
533,752,train,A0AJ83
534,1,train,Q09158
535,2,train,A8WTV9
536,11,train,P69478
537,5,train,A0QJI1
538,3,train,Q02527
539,16,train,O35789
540,1,test,Q09654
541,715,train,A0AJ48
542,1,train,Q52NW7
543,1,train,Q53317
544,1,train,Q53H47
545,4610,val,A0AIF0
546,1,train,Q53NI2
547,4,train,Q5ZIJ9
548,3,train,Q5ZIW1
549,1,test,Q5ZKH6
550,4,train,A2VDP1
551,8,val,O75460
552,1,test,Q76P07
553,1,test,Q76PD2
554,211,val,A0AJW4
555,1,train,Q79FW5
556,1,train,Q79LY0
557,69,val,A1KV07
558,3,train,Q13057
559,1,train,Q8MIT6
560,1,train,Q8MLZ3
561,1,val,Q8MQ70
562,1,train,Q8MY12
563,1,train,Q8MY85
564,1,train,Q8MY86
565,4,train,A1ZAG4
566,22,train,D4GTS4
567,3,test,O27637
568,1,test,Q8Z3E4
569,154,train,A0KHA2
570,1,train,Q9D842
571,1,train,Q9D9X6
572,1,train,Q9DAH2
573,6,val,P59083
574,7,train,Q16828
575,1,train,Q9DBU5
576,5,train,Q28GL3
577,5,train,Q5BK17
578,1,train,Q9PQ21
579,2,train,P35050
580,1,test,Q9YGY4
581,4,train,Q9YH98
582,2,train,O00311
583,3,train,Q2KIP2
584,1,train,Q9Z138
585,9,train,O14133
586,1,train,A2VDM8
587,2,train,A2VDZ4
588,1,train,A2VEY9
589,1,train,A2WPU3
590,11,train,A2XFC7
591,20,train,A3UNN4
592,753,train,A0AK41
593,172,train,A0KKI5
594,392,train,A0AJC9
595,93,val,A1A788
596,2208,train,A0AIX3
597,8,test,A1L2G3
598,28,train,B8LWT1
599,713,train,A0AK40
600,2,train,C7P8V7
601,64,train,A0JWY6
602,1,test,O24926
603,1,train,O25093
604,1,train,O25103
605,1,train,O66680
606,3,train,O66810
607,100,train,A1JNZ8
608,103,train,A0QX93
609,64,train,A0PZT1
610,1,train,P05148
611,2,train,P0CP88
612,2,train,P0CP92
613,1,train,P0CP98
614,1,train,P0CP99
615,1,train,P0CQ63
616,1,train,P20300
617,1,train,P20370
618,1,train,P20584
619,1,train,P20609
620,1,train,P20610
621,1,train,P20622
622,1,train,P20623
623,1,train,P20655
624,17,train,P30577
625,1,train,P30634
626,1,train,P30641
627,1,train,P30645
628,1,train,P30663
629,1,val,P30809
630,1,train,P30815
631,1,train,P30887
632,2,train,P30907
633,30,train,B2GV06
634,4,train,O53076
635,4,train,P53816
636,1,train,P53874
637,2,train,A6ZRW7
638,1,val,P53933
639,1,test,P53961
640,1,train,P54084
641,1,train,P54197
642,1,train,P54199
643,13,train,E1BMF7
644,1,train,P54212
645,1,train,P54271
646,208,train,A0A075B759
647,7,train,P10809
648,12,train,P10265
649,1,train,P86807
650,1,train,P86830
651,1,train,P86911
652,4,train,P86924
653,1,train,P86979
654,1,train,P87050
655,1,train,P87176
656,1,train,P87241
657,1,train,P90648
658,1,train,P90895
659,1,val,P91247
660,1,train,P91759
661,3,train,Q06SE7
662,1,train,Q06ZW3
663,14,test,O17966
664,60,train,A1AHB7
665,1,train,Q07292
666,1,train,Q07407
667,1,test,Q07457
668,1,val,Q0TVF9
669,46,train,A1CIJ6
670,1,train,Q1ZXR2
671,1,train,Q20296
672,6,train,Q1JQD7
673,14,train,O00469
674,41,train,A0AAS4
675,438,train,A0K648
676,4,train,Q2THW8
677,1,train,Q33093
678,1,train,Q45305
679,23,train,O33405
680,1,train,Q460N3
681,18,train,O66842
682,1,train,Q46506
683,1,test,Q4H3K6
684,1,train,Q4H4E3
685,1,test,Q4H4E9
686,1,train,Q4H4F7
687,24,train,P0C1I1
688,1,train,Q4I7N9
689,9,train,Q0C9E6
690,1,train,Q4IE79
691,73,train,A5IGB8
692,1,val,Q4INZ9
693,1,train,Q4IPB3
694,1,train,Q4WMV5
695,11,train,Q04089
696,1,train,Q5BKL8
697,41,test,O77666
698,8,val,O15327
699,1,train,Q5RAK3
700,6,train,P28825
701,1,train,Q61UC4
702,1,val,Q621J7
703,3,train,O08629
704,5,val,Q03146
705,3,train,P51617
706,2,train,O18209
707,8,train,Q22017
708,1,train,Q62838
709,93,train,A0JSP6
710,656,train,A0ALT4
711,13,train,C0H3X7
712,444,train,A0AIB8
713,1,train,Q7UWB5
714,1,train,Q8G4G1
715,16,train,O67365
716,2,train,Q0TR53
717,6,train,P30967
718,1,test,Q9HUI3
719,66,train,A1JM47
720,2,train,Q02SZ7
721,5,train,Q55168
722,10,train,O67091
723,10,val,O27745
724,1,train,Q9V302
725,1,train,Q9V6K3
726,20,test,A5D7I4
727,74,test,A1ADE0
728,1,test,Q9VBW3
729,1,test,Q9VBX2
730,13,val,A4HQI9
731,225,train,A0MTQ2
732,1,val,A2Y040
733,124,test,A0AXK2
734,1,train,A2ZAC2
735,1,val,A3A8Q4
736,11,train,A3AZW5
737,15,train,A4FW56
738,1,train,A9RVK2
739,1,train,A9SY39
740,3,train,A9JTP3
741,5,train,A6NNW6
742,1,train,A9V2C1
743,13,train,A0JM59
744,731,train,A0AIW1
745,4,test,B2RUR8
746,2,train,B2RYR0
747,246,test,A0KHC4
748,258,train,A0KSQ8
749,1,train,B5YJ35
750,572,train,A0AH03
751,3,train,C0LGH8
752,1,train,C0LGK4
753,17,train,A6T8R9
754,5,train,C9XIS6
755,2,train,O14172
756,4,test,O14353
757,11,train,A1C4H2
758,2,train,O14427
759,11,train,G5EFD9
760,18,train,A9WC34
761,1,train,O59647
762,1,val,O59667
763,149,test,A9RAG2
764,4,train,P0ADR8
765,89,train,A1AE69
766,2,train,P0AE12
767,5,train,O60993
768,3,train,P09169
769,1,train,P17896
770,1,val,P18126
771,8,train,P29025
772,1,train,P29032
773,1,train,P29058
774,1,test,P29091
775,1,test,P29126
776,1,train,P29127
777,2,train,P29166
778,5,train,O06928
779,2,train,P29352
780,2,train,P29372
781,2,train,P08923
782,1,train,P43050
783,1,train,P43078
784,8,train,P09237
785,1,train,P51035
786,8,train,P51031
787,1,train,P51076
788,1,train,P51120
789,44,test,A5D7T4
790,10,train,G3XDD8
791,1,train,P61250
792,3,train,O97401
793,1,val,P82456
794,6,train,O15344
795,1,train,P82536
796,1,train,P82543
797,1,val,P82604
798,1,val,P82678
799,1,train,P82798
800,1,val,P82902
801,1,val,P83001
802,1,train,P83179
803,710,val,A0B0V3
804,1,train,P83505
805,1,train,P83513
806,1,train,P83657
807,1,train,P83772
808,1,train,Q02555
809,1,val,Q02724
810,4,train,Q02770
811,1,train,Q02854
812,15,train,O14023
813,1,train,Q02940
814,1,train,Q05185
815,8,train,Q15040
816,793,train,A0AI76
817,1,train,Q31651
818,591,val,A0K916
819,8,train,Q4A127
820,1,train,Q4V7X9
821,19,train,A7E2Z2
822,1,train,Q4V8R6
823,16,train,A2CI34
824,1,val,Q59674
825,13,train,P00936
826,1,test,Q59767
827,1,test,Q59918
828,1,val,Q5RBR0
829,7,test,P15287
830,6,train,Q2QM47
831,2,train,P34537
832,3,val,O15146
833,2,train,Q5R814
834,22,test,A0A0B4K692
835,471,val,A0AJL9
836,26,train,A1W1H0
837,1,train,Q7KVS9
838,5,train,A4IHS0
839,15,train,O08759
840,1,train,Q7LZG3
841,1,train,Q7LZQ6
842,1,val,Q7M0V7
843,1,val,Q7M290
844,1,val,Q7M323
845,2,train,Q7M3V3
846,2,train,Q895G2
847,1,train,Q895U7
848,204,train,A0L0D3
849,2,train,B3LF48
850,1,train,Q94CU5
851,1,train,Q94F30
852,6,val,C0SQ89
853,68,train,A0PDV5
854,1,test,Q94FY7
855,15,train,A6QPY8
856,1,train,Q94JQ4
857,331,train,A0AK10
858,1136,train,A0ALD9
859,7,train,P0C216
860,1,train,Q9RFA0
861,2,val,Q05608
862,12,train,A5F5Y3
863,1,val,Q9Z913
864,10,train,O06923
865,1,train,Q9ZAA8
866,7,train,A9KLZ5
867,159,train,A0PZY2
868,506,train,A0B8M6
869,22,train,D4AMB9
870,1,train,O07717
871,105,train,A4VQV5
872,1,train,O07777
873,1,train,O07778
874,4,test,O07921
875,1,train,O59718
876,1,train,O59747
877,1,train,O59825
878,22,train,B0R7C0
879,6,train,P05468
880,1,train,P09870
881,22,train,O07344
882,1,train,P13570
883,2,test,P07598
884,3,train,P13636
885,1,test,P13656
886,1,train,P13658
887,1,val,P13717
888,1,val,P13722
889,5,train,P13734
890,1,train,P13774
891,2,train,P13799
892,1,train,P13858
893,1,test,P31843
894,1,train,P31860
895,1,train,P31874
896,1,train,P31925
897,1721,train,A0A0H2VA68
898,1,train,P31959
899,3,train,P31960
900,1,train,P32023
901,5,val,O13739
902,1,train,P32185
903,1,train,P56100
904,1,train,P56200
905,2,train,B2RKU0
906,1,train,P95506
907,11,train,P05361
908,2,test,P96111
909,1,train,Q03533
910,1,test,Q03563
911,21,train,A0JN54
912,2,train,Q03796
913,2,train,O74859
914,1,train,Q08824
915,1,train,Q08930
916,1,train,Q0S8V5
917,1166,val,A0AF03
918,1,train,Q2RI40
919,95,train,A0A344
920,1,train,Q40469
921,14,train,A1YPR3
922,4,train,Q5M954
923,8,train,Q3SWY5
924,1,train,Q6PBI4
925,1,train,Q6PC78
926,7,train,A4IH61
927,8,val,F4HPP7
928,2,train,O94972
929,6,val,A0AVI4
930,5,train,Q61010
931,4,train,Q5XHG1
932,1,train,Q6PFK1
933,1,train,Q7N8B1
934,3,val,A0A0H3GM48
935,7,train,Q12548
936,3,train,Q14527
937,34,train,A5D6R3
938,1,train,Q95KF1
939,20,train,O08738
940,1,val,Q9FMM4
941,1,train,Q9FMN2
942,23,train,O22199
943,2,train,Q9FNJ9
944,3,train,Q4FE47
945,1,train,Q9FPR3
946,1,train,Q9FPS4
947,1,train,Q9FPS9
948,11,train,O19071
949,11,test,A2VDU3
950,5,val,A4VCL2
951,1,train,Q9XU42
952,10,train,A8XWC4
953,55,train,A8Y236
954,4,train,O35826
955,1,train,Q9Y252
956,2,train,Q61083
957,3,train,B6CJY4
958,1,train,A0QLI5
959,549,train,A0JT43
960,33,train,A1CNY3
961,7,train,B3SGL0
962,1,train,B5APK2
963,21,train,A1JL12
964,287,train,A0AJ41
965,187,train,A6H4Q6
966,99,train,A0R4S9
967,11,train,A0RV30
968,19,train,B0F0H3
969,3,train,E1BD59
970,9,train,B1WAR9
971,1,train,O51338
972,22,train,A5HXX7
973,1,val,P00733
974,18,train,P00768
975,1,test,P00778
976,194,test,A0K936
977,1,train,P13019
978,1,train,P13062
979,1,train,P13064
980,1,train,P13155
981,31,train,P07056
982,1,train,P13369
983,1,train,P13387
984,1,train,P13440
985,1,val,P13490
986,2,train,P13497
987,1,val,P13502
988,9,train,O33948
989,1,train,P31051
990,33,train,A1VZQ6
991,310,train,A0A077K8G3
992,1,train,P31155
993,1,train,P31156
994,1,train,P31178
995,4,train,P31180
996,1,train,P31186
997,9,train,P31188
998,1,train,P31194
999,1,train,P31203
1000,15,train,P0AF93
1001,2,train,P40711
1002,1,train,P45509
1003,1,train,P45573
1004,1,val,P54736
1005,2,train,P54741
1006,14,val,A0QXE4
1007,2,test,P54860
1008,1,train,P54865
1009,12,val,O04015
1010,1,train,P80250
1011,1,train,P80268
1012,4,train,P34913
1013,1,train,P80346
1014,1,train,P80427
1015,1,train,P80541
1016,1,train,P80560
1017,3,train,I3R9M8
1018,1,train,P80654
1019,2,train,P80740
1020,1,train,Q119Z5
1021,1,train,Q2YKD6
1022,173,train,A0B2F7
1023,3,train,B0BK71
1024,42,train,A0PRG8
1025,18,train,D5JAJ1
1026,2,train,Q46CH4
1027,9,train,O21260
1028,5,train,A0R3N5
1029,187,train,A1A7L1
1030,2,test,Q504Y2
1031,2,test,Q3U8K7
1032,3,train,Q08DZ2
1033,1,train,Q63364
1034,2,train,O02695
1035,1,train,Q75D88
1036,1,train,Q75JU2
1037,23,val,A7SG73
1038,1,train,Q75QN6
1039,2,train,Q2U5P1
1040,540,train,A0K4S0
1041,5,train,A7MRY3
1042,2,train,D3ZBM4
1043,1,train,Q8N7E2
1044,3,train,Q54DV0
1045,3,train,Q5REG4
1046,1,train,Q8NA82
1047,4,train,G3V9D0
1048,1,train,Q8NCN4
1049,1,train,Q8NEG5
1050,1,train,Q8NG27
1051,5,train,P51957
1052,2,train,E7FI45
1053,8,test,P42663
1054,269,train,A0AYX8
1055,45,train,A0B533
1056,2,train,Q7BLV3
1057,1,test,Q9Z3Q0
1058,36,train,A2RNT9
1059,1,train,Q9Z4P6
1060,200,train,A0KPL4
1061,415,train,A0AJY0
1062,4,train,A4IGY9
1063,20,train,A0Q2W0
1064,753,val,A0A360
1065,1,train,D3YYI7
1066,2,val,D3Z3K2
1067,3,val,D4ACP5
1068,1,train,D4AJR9
1069,8,train,D4AM78
1070,85,val,A2XCN6
1071,1,test,D4AT07
1072,15,train,A2BK57
1073,192,train,A0KGH7
1074,9,test,O27748
1075,6,val,O07835
1076,7,train,O27906
1077,28,train,A2VEA3
1078,1,train,O76997
1079,285,test,A2XMN2
1080,1,train,P08757
1081,3,train,P0CN14
1082,2,train,P0CO40
1083,31,train,O94395
1084,2,train,P0CO64
1085,8,train,P21328
1086,1,train,P21370
1087,1,train,P21514
1088,1,train,P21776
1089,1,train,P32562
1090,1,train,P32567
1091,1,train,P32586
1092,50,train,A5PL98
1093,3,train,P24599
1094,2,train,P56950
1095,2,train,P98052
1096,154,train,A6H4Q5
1097,1,train,P98073
1098,8,val,A1W0U6
1099,1,train,Q0QEL7
1100,1,train,Q0QLF1
1101,1,test,Q0QLF2
1102,1,train,Q0QLF7
1103,1,train,Q1EAR5
1104,1,test,Q2PP52
1105,499,train,A0K9N9
1106,2,train,Q2QTL0
1107,10,train,A9RBS1
1108,1,val,Q2RBJ4
1109,13,train,O75439
1110,1,train,Q4WAQ9
1111,69,train,A1DA64
1112,2,train,Q2U9B0
1113,16,test,A1C499
1114,19,train,B2FSW8
1115,5,train,O32857
1116,2,train,O27228
1117,6,train,O58778
1118,1,train,Q5R476
1119,1,train,Q5R4I2
1120,1,val,Q60DG4
1121,11,train,P64948
1122,61,test,A2RCP2
1123,2,train,P23874
1124,8,train,P65825
1125,1,train,Q8UVR8
1126,3,train,Q866Y3
1127,60,train,A0Q380
1128,2,train,Q97D82
1129,3,train,Q1L721
1130,7,train,Q4KLY4
1131,2,train,Q5VV17
1132,1,train,Q9KEI9
1133,1,train,Q9RLB8
1134,1,train,Q9RLM3
1135,3,train,Q8ZY48
1136,3,train,Q9RPW2
1137,2,test,Q9RPW5
1138,3,train,Q9RQ82
1139,1,train,Q9RQQ9
1140,1,train,Q9RQZ7
1141,40,train,A2XL32
1142,291,train,A0A334
1143,6,train,P09172
1144,2,train,A0R3C4
1145,1,train,A0R5G1
1146,6,test,A0R5M9
1147,4,train,A0R5N0
1148,12,train,A0R5T2
1149,624,val,A0A0H2XEA6
1150,56,train,A1RR50
1151,170,train,A0KHE0
1152,21,train,A0B632
1153,42,val,A1AFY1
1154,7,train,A9W185
1155,279,train,A0JRH2
1156,1,train,B8NM74
1157,1,train,F4J9Q6
1158,6,train,F4JEQ1
1159,1,train,F4JP52
