accession,true_label_count,any_unseen_true_label,all_true_labels_unseen,min_true_label_train_count,B1_ESM2_only_top1_prob,B1_ESM2_only_prob_sum,B1_ESM2_only_entropy,B3_contact_only_top1_prob,B3_contact_only_prob_sum,B3_contact_only_entropy,Fusion_ESM2_contact_top1_prob,Fusion_ESM2_contact_prob_sum,Fusion_ESM2_contact_entropy
A1U5H8,1,True,True,0,0.019740792,0.10561235,0.6289852,0.018037617,0.11629496,0.7444757,0.003920071,0.004879363,0.03517158
A1UHK6,1,True,True,0,0.0110337995,0.069575,0.47158992,0.02650478,0.13720569,0.8228321,0.056329753,0.063056186,0.2665586
A1V8H1,1,True,True,0,0.08122337,0.22113442,1.0052867,0.009080177,0.113515064,0.8868048,0.00075978646,0.0019148412,0.01773632
A1VEV3,1,True,True,0,0.06207416,0.15634437,0.8415648,0.13179539,0.2915946,1.2978567,0.009717998,0.01853322,0.1079121
A1VK39,1,True,True,0,0.01437603,0.064630754,0.4150035,0.08250041,1.3169398,8.749674,0.016956506,0.022680094,0.1249424
A1W432,1,True,True,0,0.028682968,0.13653623,0.7658022,0.025008544,0.23029849,1.6115812,0.009555866,0.017149346,0.1040991
A1WR21,1,True,True,0,0.02865672,0.12457588,0.7188181,0.016949603,0.18387724,1.3237432,0.0067636035,0.012746405,0.08059315
A1WW08,1,True,True,0,0.04115697,0.15281688,0.85949355,0.059839766,0.10221834,0.5625561,0.008467918,0.011784853,0.07574102
A2BP81,1,True,True,0,0.019666731,0.09702038,0.592559,0.012224176,0.10709788,0.7326735,0.16751586,0.27929187,0.81792355
A2BUR2,1,True,True,0,0.010541678,0.06838235,0.46047685,0.010115962,0.1003717,0.685987,0.021589609,0.035754845,0.19379094
A2C0B5,1,True,True,0,0.010546052,0.06448596,0.4361858,0.012037031,0.0716072,0.5315467,0.15442567,0.18056665,0.56759524
A2CCN3,1,True,True,0,0.015124583,0.086171776,0.52538043,0.039352227,0.15370187,0.9190022,0.0057156594,0.017181441,0.10752538
A2RKS1,1,True,True,0,0.04682405,0.16268583,0.94321585,0.015356983,0.17746025,1.2786556,0.0020617933,0.0052672764,0.040684868
A2S750,1,True,True,0,0.08122435,0.22113624,1.0052905,0.013133178,0.122439444,0.9422224,0.0009478782,0.0022045851,0.02006257
A2SE06,1,True,True,0,0.017532153,0.06322827,0.37636343,0.048054993,0.13296781,0.7688849,0.013389743,0.025785608,0.1542267
A3CNT3,1,True,True,0,0.027246388,0.15855514,0.9363009,0.017415622,0.1621641,1.2085519,0.011943054,0.021979695,0.12658153
A3CTR8,1,True,True,0,0.0796572,0.2303174,1.1531506,0.15613925,0.33352047,1.4782495,0.0071873385,0.009892466,0.065319866
A3DJF3,1,True,True,0,0.13210897,0.26577598,1.1338824,0.03656241,0.12599832,0.7796539,0.005846504,0.008871101,0.060040236
A3MPU8,1,True,True,0,0.08122435,0.22113624,1.0052905,0.039880328,0.15873924,1.006294,0.0012801753,0.0027337968,0.023922905
A3MSG0,1,True,True,0,0.07816968,0.33122364,1.9631071,0.084752195,0.37242678,2.5617201,0.03530135,0.05092854,0.26681364
A3NE97,1,True,True,0,0.0812232,0.22113511,1.0052886,0.013742297,0.12491015,0.91023076,0.0013221839,0.0026658552,0.023197353
A3P031,1,True,True,0,0.08122435,0.22113624,1.0052905,0.021628244,0.13046299,0.9522589,0.000785396,0.0020676996,0.019127117
A3PB03,1,True,True,0,0.019069163,0.10001602,0.60991263,0.008125138,0.090303674,0.6507086,0.16530298,0.2834014,0.8248085
A3PI66,1,True,True,0,0.05712538,0.20107606,1.0086147,0.014684823,0.13292599,0.96239424,0.0028247999,0.0062907776,0.04886456
A3Q129,1,True,True,0,0.0110337995,0.069575,0.47158992,0.02374488,0.1482737,0.88519996,0.05791406,0.0652112,0.27462465
A4FLN6,1,True,True,0,0.019091323,0.08909952,0.5697457,0.0951483,0.34600082,1.5491601,0.007882721,0.016443204,0.1054853
A4FYS8,1,True,True,0,0.03292142,0.12790619,0.7809859,0.028088069,0.19232894,1.4060632,0.0013600587,0.0038015593,0.0307151
A4G9I9,1,True,True,0,0.019985821,0.086436145,0.52365255,0.02608753,0.11444326,0.7500302,0.0048530176,0.0069504986,0.049213685
A4ISR5,1,True,True,0,0.022627579,0.10255124,0.61095625,0.030651867,0.12384389,0.7975422,0.019056648,0.021517524,0.114667945
A4J710,1,True,True,0,0.0283705,0.123711064,0.75327975,0.13292901,0.18348801,0.7596265,0.0039716456,0.007358187,0.05283308
A4JAW5,1,True,True,0,0.07245044,0.21331044,0.962511,0.010524045,0.10036659,0.7811514,0.00049498305,0.002287344,0.02143956
A4QFG5,1,True,True,0,0.018438783,0.09732695,0.5861824,0.06802055,0.17945997,0.9585432,0.03513457,0.04666067,0.22379686
A4SF66,1,True,True,0,0.06387539,0.11703849,0.57813996,0.086360864,0.40882322,2.535244,0.23335744,0.3649418,0.9480064
A4SV17,1,True,True,0,0.025886534,0.11197073,0.65741146,0.009506795,0.081680275,0.63821834,0.00088165415,0.0023353673,0.020953361
A4T9M6,1,True,True,0,0.028685512,0.11130652,0.6992871,0.029126227,0.16900247,1.0276979,0.005884525,0.008984525,0.060519043
A4VRW2,1,True,True,0,0.0145350145,0.076514006,0.48353755,0.037602853,0.11987898,0.7242587,0.04046302,0.042342674,0.18613239
A4WHB8,1,True,True,0,0.13519269,0.30741832,1.588661,0.066959575,0.3296726,2.338331,0.047668193,0.076429605,0.3891655
A4WUS5,1,True,True,0,0.0983206,0.2556924,1.1430982,0.011732221,0.11002597,0.8389313,0.0063961446,0.013664417,0.0904023
A4X9Q4,1,True,True,0,0.033431422,0.14646778,0.8798517,0.049010936,0.17523313,1.0702657,0.0058030137,0.013933327,0.09518324
A4XL23,1,True,True,0,0.022356763,0.119954735,0.7360445,0.123727165,0.21671459,0.98280096,0.019375779,0.02553137,0.13893509
A4Y087,1,True,True,0,0.013495621,0.081208795,0.5078491,0.015136338,0.08153491,0.55545866,0.023428606,0.024173617,0.118446335
A4YI33,1,True,True,0,0.059794467,0.15401852,0.8407731,0.06945083,0.11570982,0.59372824,0.17852843,0.1861971,0.51862574
A4YJV1,1,True,True,0,0.043932915,0.17041911,0.9349614,0.020211475,0.10338782,0.7079625,0.00051508314,0.0016808768,0.015620247
A5CSK8,1,True,True,0,0.0432768,0.13167863,0.7549441,0.06579126,0.25818253,1.3883522,0.023176648,0.029360062,0.15528622
A5CVR1,1,True,True,0,0.1450382,0.28906846,1.1741565,0.03790008,0.3298563,2.364762,0.0021927208,0.005799813,0.046376526
A5CZ77,1,True,True,0,0.02250732,0.13183773,0.8160126,0.12271505,0.18007559,0.7839945,0.2843173,0.28881636,0.6295948
A5E8F1,1,True,True,0,0.038193163,0.15172642,0.85526735,0.021405391,0.10840626,0.7271453,0.0007207277,0.0020237744,0.018603984
A5FR28,1,True,True,0,0.033345383,0.16415264,0.9432325,0.04328705,0.15487361,0.92457896,0.06680577,0.092748,0.37686026
A5FYE1,1,True,True,0,0.022497348,0.112930745,0.6549896,0.022864163,0.17073289,1.2077018,0.23818946,0.2462628,0.60413766
A5G8T2,1,True,True,0,0.05236638,0.15291566,0.8131528,0.015018665,0.10863663,0.7793387,0.011732061,0.019128595,0.114542395
A5GID0,1,True,True,0,0.0587106,0.17981783,0.9464117,0.010536507,0.07973647,0.5920584,0.05126011,0.063448995,0.27813345
A5GWD4,1,True,True,0,0.07581259,0.27119845,1.3612175,0.016866274,0.11107314,0.7453003,0.008524592,0.022481924,0.1367912
A5I242,1,True,True,0,0.02115432,0.13520956,0.79416865,0.051992532,0.12054747,0.6675148,0.005832018,0.010344902,0.067489445
A5INE3,1,True,True,0,0.011438829,0.13863184,0.98372334,0.030486993,0.25536874,2.052297,0.074136265,0.10535213,0.4538088
A5IWA3,1,True,True,0,0.053172473,0.19667007,1.1068823,0.03335088,0.34982598,2.5295057,0.0023716823,0.0029556167,0.022287767
A5N7Q8,1,True,True,0,0.10252696,0.22761649,1.0874681,0.01722363,0.14442587,1.010741,0.0012299445,0.002747006,0.02301773
A5U2V7,1,True,True,0,0.025168164,0.11962684,0.7491667,0.1562569,0.36388147,1.445677,0.17171592,0.2074307,0.64689815
A5UMI3,1,True,True,0,0.02107202,0.10798249,0.66768515,0.06924757,0.17037693,0.87244153,0.008993619,0.015873287,0.10124354
A5USC4,1,True,True,0,0.021968806,0.08323294,0.4990482,0.036179297,0.11846472,0.6719355,0.021290794,0.03410859,0.18278635
A5V9V7,1,True,True,0,0.053021874,0.17082684,0.88636565,0.013639773,0.17077465,1.2927055,0.0049596704,0.009943974,0.070115745
A5VT39,1,True,True,0,0.01214147,0.06584515,0.41560036,0.028301721,0.12680031,0.76732314,0.007742507,0.014238378,0.09351972
A5VX72,1,True,True,0,0.025773985,0.11929244,0.69249564,0.020351782,0.09323124,0.58711904,0.031713467,0.0344893,0.16146466
A5WBH9,1,True,True,0,0.008848543,0.040398087,0.30033377,0.0417563,0.31110346,2.1175323,0.1537114,0.29788774,0.85492575
A6LT19,1,True,True,0,0.036055554,0.12842031,0.7377758,0.11011536,0.16053376,0.7052907,0.32467163,0.3330446,0.6823544
A6Q330,1,True,True,0,0.053597674,0.21276683,1.056214,0.014503959,0.10233353,0.7662705,0.018195566,0.030243674,0.17678231
A6Q9M2,1,True,True,0,0.043404162,0.17454016,0.96095514,0.019472232,0.1613009,1.1516376,0.01801551,0.046028078,0.2584777
A6QKG4,1,True,True,0,0.053172473,0.19667007,1.1068823,0.030683292,0.29427165,2.1350064,0.0024722314,0.0031220173,0.023471816
A6T379,1,True,True,0,0.020975329,0.07487241,0.4638318,0.024738863,0.09967164,0.6726428,0.0054997397,0.008930659,0.061519343
A6TKT3,1,True,True,0,0.058099315,0.15046227,0.79909796,0.048826784,0.24708603,1.5508207,0.0030367945,0.0050242376,0.0378699
A6U561,1,True,True,0,0.053172156,0.19666956,1.1068795,0.03049478,0.35179508,2.5572507,0.0023401708,0.0029456997,0.02227572
A6UEK7,1,True,True,0,0.033121634,0.09284558,0.5245226,0.077611335,0.23611085,1.2628161,0.013136302,0.030796044,0.17368886
A6UN45,1,True,True,0,0.12756497,0.2797585,1.3004726,0.037760712,0.174159,1.1927704,0.0014614173,0.0037027742,0.029982682
A6UTB1,1,True,True,0,0.1389945,0.24724276,1.0822889,0.046482008,0.15548025,1.020922,0.005983313,0.009651246,0.0652581
A6VDR3,1,True,True,0,0.017723942,0.09027526,0.54786104,0.020619795,0.113820575,0.71096677,0.0060071256,0.008552226,0.05800912
A6VJJ9,1,True,True,0,0.0454869,0.14919017,0.8691496,0.028292453,0.195256,1.4442432,0.004865957,0.007472722,0.05262827
A6VTA8,1,True,True,0,0.01866637,0.08085378,0.52634495,0.02303189,0.1177198,0.72039706,0.0062029962,0.0067385132,0.043202035
A6WCV0,1,True,True,0,0.038916517,0.15319309,0.8601263,0.020306274,0.18339723,1.2247889,0.0964416,0.10311859,0.3687815
A6WX56,1,True,True,0,0.01410325,0.069885075,0.43645656,0.021824045,0.11441791,0.7190286,0.0055295695,0.012510143,0.08507805
A7FU78,1,True,True,0,0.02115432,0.13520956,0.79416865,0.057484265,0.12177083,0.6645645,0.005855246,0.010265577,0.067022644
A7GDQ3,1,True,True,0,0.023068251,0.1236072,0.7257756,0.05552114,0.12430544,0.6839098,0.0054434785,0.0104174,0.06761961
A7GMU7,1,True,True,0,0.021768445,0.11470548,0.7211822,0.02476593,0.11171979,0.7621228,0.008416019,0.008646983,0.051062636
