query_accession,query_ec,nearest_train_accession,nearest_train_ec,nearest_cosine,same_l1,same_l2,same_l3,same_l4
P9WF02,1.2.4.4,Q9VUW9,2.3.1.225,0.940623,False,False,False,False
C0HLL3,3.1.1.32,P53357,3.1.1.32;3.1.1.4,0.997472,True,True,True,True
A0A2K3DU55,3.1.3.27,A1JHN0,2.5.1.117,0.941434,False,False,False,False
C0HLL5,3.2.1.35,P49371,3.2.1.35,0.999885,True,True,True,True
P0DTE5,2.4.1.17,P36512,2.4.1.17,0.991062,True,True,True,True
P0DTE4,2.4.1.17,Q8JZZ0,2.4.1.17,0.977891,True,True,True,True
A0A348AXX5,3.5.1.4,O59805,3.5.1.4,0.984207,True,True,True,True
P9WEU6,3.5.5.1,O93829,2.5.1.60,0.916885,False,False,False,False
A0A5Q0QMX0,4.2.3.126,B5HDJ6,4.2.3.181,0.984077,True,True,True,False
A0A5Q0QMX1,4.2.3.198;4.2.3.126,K0K750,4.2.3.57,0.976612,True,True,True,False
A0A5Q0QNH9,4.2.3.135,A8NE23,4.2.3.125;4.2.3.126;4.2.3.23,0.973597,True,True,True,False
A0A5Q0QN66,4.2.3.135,Q08109,2.3.2.27,0.960799,False,False,False,False
A0A5Q0QSI8,4.2.3.88,Q8MIT6,2.7.11.1,0.976285,False,False,False,False
A0A5Q0QP64,4.2.3.126;4.2.3.15;4.2.3.127,A8NU13,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91,0.995459,True,True,True,True
A0A5Q0QU70,4.2.3.125;4.2.3.126,S0DX56,4.2.3.164,0.986909,True,True,True,False
A0A5Q0QNJ2,4.2.3.88,Q8MIT6,2.7.11.1,0.970755,False,False,False,False
A0A5Q0QRJ3,4.2.3.198;4.2.3.125;4.2.3.126,S0DX56,4.2.3.164,0.987361,True,True,True,False
P9WEW2,4.2.3.198;4.2.3.135,Q9K499,4.2.3.37,0.976341,True,True,True,False
A0A4S8MAF3,4.2.3.135,B5H7H3,4.2.3.182,0.982544,True,True,True,False
P9WEV7,2.5.1.29,A2PZA5,2.5.1.29;4.2.3.43,0.976356,True,True,True,True
P9WEU5,4.2.1.66,P32964,4.2.1.66,0.988972,True,True,True,True
P9WEW0,4.2.3.198;4.2.3.135,A8NU13,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91,0.988407,True,True,True,False
P9WEV6,2.5.1.29,A2PZA5,2.5.1.29;4.2.3.43,0.983751,True,True,True,True
P9WEW1,4.2.3.198;4.2.3.135,A8NU13,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91,0.989638,True,True,True,False
P9WEX3,2.5.1.10;2.5.1.1;2.5.1.29,P49352,2.5.1.1;2.5.1.10,0.975514,True,True,True,True
P9WEX9,2.5.1.10;2.5.1.1;2.5.1.29,P44916,2.5.1.90,0.977901,True,True,True,False
P9WEW8,2.5.1.10;2.5.1.1;2.5.1.29,Q92250,2.5.1.1;2.5.1.10,0.979739,True,True,True,True
P0DUB9,3.1.1.3,P08658,3.1.1.3,0.938412,True,True,True,True
A0A348B788,4.2.3.7,P0DL13,4.2.3.135,0.992907,True,True,True,False
A0A348B790,4.2.3.135,P0DL13,4.2.3.135,0.991757,True,True,True,True
A0A348B780,4.2.3.126;4.2.3.125;4.2.3.127;4.2.3.133,Q9K499,4.2.3.37,0.980793,True,True,True,False
A0A348B782,4.2.3.100,Q9K499,4.2.3.37,0.97866,True,True,True,False
A0A348B784,4.2.3.135,P0DL13,4.2.3.135,0.991346,True,True,True,True
A0A2U1KZS6,1.6.2.4,Q9SUM3,1.6.2.4,0.993016,True,True,True,True
A0A2U1LIM9,1.6.2.4,Q9SUM3,1.6.2.4,0.984906,True,True,True,True
P0DUE2,2.7.7.65,Q9XGY6,2.3.1.75,0.963142,True,False,False,False
P0DUE3,2.7.7.65,A9BDF0,6.1.1.19,0.948136,False,False,False,False
A0A5B8NIM2,5.4.99.5,O13739,5.4.99.5,0.983028,True,True,True,True
P0DUD9,3.2.2.5,P24877,1.6.5.3,0.94568,False,False,False,False
A0A6C0WW38,2.1.1.160,Q9FZN8,2.1.1.160,0.997276,True,True,True,True
A0A6C0WX00,2.1.1.159,Q9FZN8,2.1.1.160,0.996082,True,True,True,False
A0A2T5Y4G4,3.2.2.5,O93829,2.5.1.60,0.940416,False,False,False,False
P0DUE0,3.2.2.5,O93829,2.5.1.60,0.941913,False,False,False,False
P0DUE1,3.2.2.6,Q4X251,2.3.1.225,0.954939,False,False,False,False
P9WEY7,4.2.3.126;4.2.3.15;4.2.3.57;4.2.3.125,B2J4A4,4.2.3.90,0.987418,True,True,True,False
P9WEY4,4.2.3.57;4.2.3.125,A9FZ87,4.2.3.164,0.980369,True,True,True,False
P0DUG4,3.1.1.4,Q2YKD6,1.10.3.14,0.94811,False,False,False,False
A0A5P8DI07,4.2.3.131,Q8GUE4,3.1.7.11,0.986533,False,False,False,False
A0A3G1QTS7,4.2.3.19,G3CCC1,4.2.3.140,0.990205,True,True,True,False
A0A3G1QTU5,5.5.1.13,Q5MQ85,5.5.1.13,0.979225,True,True,True,True
A0A5P8DHZ6,5.5.1.12,Q5MQ85,5.5.1.13,0.991551,True,True,True,False
A0A5P8DI15,5.5.1.13,G1DGI7,3.1.7.10,0.98342,False,False,False,False
A0A345BJQ0,2.5.1.21,G0Y286,2.5.1.103,0.981421,True,True,True,False
A0A455LN84,1.5.1.39,A4IT49,1.5.1.45,0.936233,True,True,True,False
A0A455LLX4,1.5.1.39,O31038,1.5.1.38,0.928955,True,True,True,False
A0A6G9KIF9,1.13.11.52,P14902,1.13.11.52,0.986873,True,True,True,True
P0DUM0,4.3.1.24,Q68G84,4.3.1.24;5.4.3.10,0.982013,True,True,True,True
A0A345BJN2,3.1.1.1,Q6MFY6,2.3.2.27,0.914168,False,False,False,False
A0A345BJN1,4.3.1.24,Q6GZ04,4.3.1.24;5.4.3.10,0.986986,True,True,True,True
A0A2U7XUE3,5.5.1.6,Q8VZW3,5.5.1.6,0.98457,True,True,True,True
A0A2U7XUH7,5.5.1.6,Q37679,1.9.3.1,0.915626,False,False,False,False
P0DUN5,3.1.1.4,Q0AET9,3.6.1.31,0.934061,True,False,False,False
P0DQQ0,3.1.1.4,P0C8M1,3.1.1.4,0.991072,True,True,True,True
P0DQP9,3.1.1.4,Q4J8L6,3.6.3.14,0.912539,True,False,False,False
P0DUN0,3.1.1.4,B3E616,3.6.1.31,0.939871,True,False,False,False
P0DUN1,3.1.1.4,C0HKC4,3.1.1.4,0.994282,True,True,True,True
P0DQP6,3.1.1.4,P24645,3.1.1.4,0.933899,True,True,True,True
P0DUN2,3.1.1.4,P86803,3.1.1.4,0.989727,True,True,True,True
A0A5S9I252,4.2.3.137;4.2.3.182;4.2.3.104;4.2.3.157;4.2.3.57,A0A1L7U8F2,4.2.3.165,0.986001,True,True,True,False
