uid,seq_len,true_ecs,true_l1,max_train_seq_identity,similarity_available,similarity_bin,contactec_pred_ecs,contactec_per_protein_f1,contactec_hit,hitec_pred_ecs,hitec_per_protein_f1,hitec_hit,case_status
A0A3G1DJK5,729,4.3.1.24,4,0.39,True,"(0.30,0.60]",4.3.1.24;5.4.3.10,0.6666666666666666,True,4.3.1.24,1.0,True,both_correct
A0A3G1DJL2,419,2.5.1.21,2,0.583,True,"(0.30,0.60]",2.5.1.21,1.0,True,2.5.1.21,1.0,True,both_correct
A0A3G1DJF0,320,3.1.1.1,3,0.0,True,0.00,,0.0,False,3.1.1.1,1.0,True,hitec_only
A0A2I7G3B0,499,1.2.1.5,1,0.641,True,"(0.60,0.90]",1.2.1.3,0.0,False,1.2.1.5,1.0,True,hitec_only
A0A2R6P624,458,2.4.1.91,2,0.538,True,"(0.30,0.60]",2.4.1.115,0.0,False,2.4.1.91,1.0,True,hitec_only
A0A4D6Q4T7,372,1.14.11.9,1,0.838,True,"(0.60,0.90]",1.14.11.9,1.0,True,1.14.11.9,1.0,True,both_correct
A0A4D6Q9B0,372,1.14.11.9,1,0.816,True,"(0.60,0.90]",1.14.11.9,1.0,True,1.14.11.9,1.0,True,both_correct
C0HLL2,146,3.1.1.4,3,0.503,True,"(0.30,0.60]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DQH9,172,1.4.3.2,1,0.0,True,0.00,1.4.3.2,1.0,True,1.4.3.2,1.0,True,both_correct
A0A2U8QPE6,501,1.4.3.2,1,0.836,True,"(0.60,0.90]",1.4.3.2,1.0,True,1.4.3.2,1.0,True,both_correct
P9WF03,920,3.2.1.40,3,0.0,True,0.00,,0.0,False,3.2.1.207,0.0,False,both_wrong
C0HLL8,49,1.11.1.9,1,0.0,True,0.00,,0.0,False,1.11.1.9,1.0,True,hitec_only
C0HLL7,50,2.5.1.18,2,0.0,True,0.00,,0.0,False,2.5.1.18,1.0,True,hitec_only
A0A4P8GFV8,379,4.2.3.104,4,0.0,True,0.00,,0.0,False,4.2.3.104,1.0,True,hitec_only
A0A2U8U2L5,430,4.2.3.104,4,0.0,True,0.00,,0.0,False,4.2.3.104,1.0,True,hitec_only
A0A5C1REZ4,494,1.2.1.3,1,0.555,True,"(0.30,0.60]",1.2.1.8,0.0,False,1.2.1.3,1.0,True,hitec_only
A0A5C1ZW08,178,3.1.1.4,3,0.0,True,0.00,3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A5C1ZXT8,178,3.1.1.4,3,0.0,True,0.00,3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A2K9RFY0,789,4.2.3.19,4,0.541,True,"(0.30,0.60]",,0.0,False,4.2.3.19,1.0,True,hitec_only
A0A2K9RFZ8,814,5.5.1.14,5,0.502,True,"(0.30,0.60]",,0.0,False,5.5.1.14,1.0,True,hitec_only
A0A5C2A2T2,178,3.1.1.4,3,0.0,True,0.00,3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A384XHA3,727,4.3.1.24,4,0.603,True,"(0.60,0.90]",4.3.1.24;4.3.1.25,0.6666666666666666,True,4.3.1.24,1.0,True,both_correct
F6Q1T7,360,2.4.1.344;2.4.1.69,2,,False,not_available,2.4.1.344,0.6666666666666666,True,2.4.1.344;2.4.1.69,1.0,True,both_correct
A0A3L7I2I8,807,3.1.1.4;3.1.1.5;3.1.2.2,3,,False,not_available,3.1.1.4,0.5,True,3.1.1.4;3.1.1.5;3.1.2.2,1.0,True,both_correct
P9WF02,469,1.2.4.4,1,0.0,True,0.00,1.2.4.1;1.2.4.4,0.6666666666666666,True,1.2.4.4,1.0,True,both_correct
C0HLL3,304,3.1.1.32,3,0.702,True,"(0.60,0.90]",3.1.1.32,1.0,True,3.1.1.32,1.0,True,both_correct
A0A2K3DU55,269,3.1.3.27,3,0.0,True,0.00,,0.0,False,3.1.1.1,0.0,False,both_wrong
C0HLQ6,16,1.2.1.12,1,0.0,True,0.00,,0.0,False,1.2.1.12,1.0,True,hitec_only
C0HLL4,341,3.2.1.35,3,0.633,True,"(0.60,0.90]",3.2.1.35,1.0,True,3.2.1.35,1.0,True,both_correct
C0HLL5,331,3.2.1.35,3,0.975,True,>0.90,3.2.1.35,1.0,True,3.2.1.35,1.0,True,both_correct
A0A3G9HRC2,1103,1.14.14.1;1.6.2.4,1,,False,not_available,1.14.14.1;1.6.2.4,1.0,True,3.2.1.183,0.0,False,contactec_only
P0DTE5,536,2.4.1.17,2,0.848,True,"(0.60,0.90]",2.4.1.17,1.0,True,2.4.1.17,1.0,True,both_correct
P0DTE4,527,2.4.1.17,2,0.844,True,"(0.60,0.90]",2.4.1.17,1.0,True,2.4.1.17,1.0,True,both_correct
A0A348AXX5,538,3.5.1.4,3,0.411,True,"(0.30,0.60]",3.5.1.4,1.0,True,3.5.1.4,1.0,True,both_correct
P9WEU6,320,3.5.5.1,3,0.53,True,"(0.30,0.60]",3.5.5.1,1.0,True,3.5.5.1,1.0,True,both_correct
A0A5Q0QMX0,372,4.2.3.126,4,0.433,True,"(0.30,0.60]",,0.0,False,4.2.3.135,0.0,False,both_wrong
A0A5Q0QMX1,353,4.2.3.126,4,,False,not_available,,0.0,False,4.2.3.198,0.0,False,both_wrong
A0A5Q0QNH9,387,4.2.3.135,4,0.556,True,"(0.30,0.60]",,0.0,False,4.2.3.135,1.0,True,hitec_only
A0A5Q0QN66,659,4.2.3.135,4,0.0,True,0.00,2.5.1.29;4.2.3.43,0.0,False,4.2.3.135,1.0,True,hitec_only
A0A5Q0QSI8,430,4.2.3.88,4,0.0,True,0.00,,0.0,False,3.4.22.16,0.0,False,both_wrong
A0A5Q0QP64,342,4.2.3.126;4.2.3.127;4.2.3.15,4,,False,not_available,,0.0,False,4.2.3.125,0.0,False,both_wrong
A0A5Q0QU70,358,4.2.3.125;4.2.3.126,4,,False,not_available,,0.0,False,4.2.3.125,0.6666666666666666,True,hitec_only
A0A5Q0QNJ2,389,4.2.3.88,4,0.405,True,"(0.30,0.60]",,0.0,False,4.2.3.173,0.0,False,both_wrong
A0A5Q0QRJ3,346,4.2.3.125;4.2.3.126,4,,False,not_available,,0.0,False,4.2.3.125;4.2.3.198,0.5,True,hitec_only
P9WEW2,369,4.2.3.135,4,,False,not_available,,0.0,False,4.2.3.135;4.2.3.198,0.6666666666666666,True,hitec_only
A0A4S8MAF3,353,4.2.3.135,4,0.537,True,"(0.30,0.60]",,0.0,False,4.2.3.135,1.0,True,hitec_only
P9WEV7,744,2.5.1.29,2,,False,not_available,4.2.3.43,0.0,False,2.5.1.29,1.0,True,hitec_only
P9WEU5,371,4.2.1.66,4,0.86,True,"(0.60,0.90]",4.2.1.66,1.0,True,4.2.1.66,1.0,True,both_correct
P9WEW0,351,4.2.3.135,4,,False,not_available,,0.0,False,4.2.3.135;4.2.3.198,0.6666666666666666,True,hitec_only
P9WEV6,728,2.5.1.29,2,,False,not_available,2.5.1.29;4.2.3.43,0.6666666666666666,True,2.5.1.29,1.0,True,both_correct
P9WEW1,350,4.2.3.135,4,,False,not_available,,0.0,False,4.2.3.135;4.2.3.198,0.6666666666666666,True,hitec_only
P9WEX3,332,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,not_available,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,both_correct
P9WEX9,331,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,not_available,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,both_correct
P9WEW8,324,2.5.1.1;2.5.1.10;2.5.1.29,2,,False,not_available,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,1.0,True,both_correct
P0DUB9,319,3.1.1.3,3,1.0,True,>0.90,,0.0,False,3.1.1.3,1.0,True,hitec_only
A0A348B788,351,4.2.3.7,4,0.487,True,"(0.30,0.60]",,0.0,False,4.2.3.135;4.2.3.7,0.6666666666666666,True,hitec_only
A0A348B790,348,4.2.3.135,4,0.5,True,"(0.30,0.60]",,0.0,False,4.2.3.135,1.0,True,hitec_only
A0A348B780,338,4.2.3.125;4.2.3.126;4.2.3.127;4.2.3.133,4,,False,not_available,,0.0,False,4.2.3.127;4.2.3.133,0.6666666666666666,True,hitec_only
A0A348B782,340,4.2.3.100,4,0.349,True,"(0.30,0.60]",,0.0,False,4.2.3.128;4.2.3.212,0.0,False,both_wrong
A0A348B784,342,4.2.3.135,4,0.5,True,"(0.30,0.60]",4.2.3.43,0.0,False,4.2.3.135,1.0,True,hitec_only
A0A2U1KZS6,709,1.6.2.4,1,0.729,True,"(0.60,0.90]",1.6.2.4,1.0,True,1.6.2.4,1.0,True,both_correct
A0A2U1LIM9,704,1.6.2.4,1,0.743,True,"(0.60,0.90]",1.6.2.4,1.0,True,1.6.2.4,1.0,True,both_correct
P0DUE2,365,2.7.7.65,2,0.0,True,0.00,3.1.21.4,0.0,False,2.7.7.65,1.0,True,hitec_only
P0DUE3,346,2.7.7.65,2,0.0,True,0.00,3.1.21.4,0.0,False,2.7.7.65,1.0,True,hitec_only
A0A5B8NIM2,262,5.4.99.5,5,0.46,True,"(0.30,0.60]",5.4.99.5,1.0,True,5.4.99.5,1.0,True,both_correct
P0DUD9,311,3.2.2.5,3,0.0,True,0.00,,0.0,False,3.2.2.5,1.0,True,hitec_only
A0A6C0WW38,369,2.1.1.160,2,0.967,True,>0.90,2.1.1.160,1.0,True,2.1.1.159,0.0,False,contactec_only
A0A6C0WX00,370,2.1.1.159,2,0.913,True,>0.90,,0.0,False,2.1.1.159,1.0,True,hitec_only
A0A2T5Y4G4,323,3.2.2.5,3,0.0,True,0.00,,0.0,False,3.2.2.5,1.0,True,hitec_only
P0DUE0,316,3.2.2.5,3,0.0,True,0.00,,0.0,False,3.2.2.5,1.0,True,hitec_only
P0DUE1,415,3.2.2.6,3,0.0,True,0.00,2.7.10.2,0.0,False,3.2.2.6,1.0,True,hitec_only
P0DUF3,1179,2.1.1.72,2,0.0,True,0.00,,0.0,False,2.7.7.7,0.0,False,both_wrong
P0DQP1,1202,2.1.1.72,2,0.0,True,0.00,2.7.7.7,0.0,False,2.7.7.89,0.0,False,both_wrong
P9WEY7,334,4.2.3.125;4.2.3.126;4.2.3.15;4.2.3.57,4,,False,not_available,4.2.3.164,0.0,False,4.2.3.125;4.2.3.57,0.6666666666666666,True,hitec_only
P9WEY4,337,4.2.3.125;4.2.3.57,4,,False,not_available,,0.0,False,4.2.3.125;4.2.3.57,1.0,True,hitec_only
P0DUG4,48,3.1.1.4,3,0.0,True,0.00,3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A5P8DI07,597,4.2.3.131,4,0.338,True,"(0.30,0.60]",,0.0,False,4.2.3.47,0.0,False,both_wrong
A0A3G1QTS7,794,4.2.3.19,4,0.537,True,"(0.30,0.60]",,0.0,False,4.2.3.19,1.0,True,hitec_only
A0A3G1QTU5,766,5.5.1.13,5,0.533,True,"(0.30,0.60]",,0.0,False,4.2.1.133,0.0,False,both_wrong
A0A5P8DHZ6,800,5.5.1.12,5,0.489,True,"(0.30,0.60]",5.5.1.12;5.5.1.13,0.6666666666666666,True,5.5.1.12,1.0,True,both_correct
A0A5P8DI15,711,5.5.1.13,5,0.575,True,"(0.30,0.60]",,0.0,False,4.2.1.133,0.0,False,both_wrong
A0A345BJQ0,415,2.5.1.21,2,0.471,True,"(0.30,0.60]",2.5.1.21,1.0,True,2.5.1.21,1.0,True,both_correct
A0A455LN84,201,1.5.1.39,1,0.386,True,"(0.30,0.60]",1.5.1.39,1.0,True,1.5.1.39,1.0,True,both_correct
P0DUF9,1205,2.1.1.72,2,0.0,True,0.00,2.7.7.7,0.0,False,4.2.1.165,0.0,False,both_wrong
A0A455LLX4,198,1.5.1.39,1,0.358,True,"(0.30,0.60]",1.5.1.39,1.0,True,1.5.1.39,1.0,True,both_correct
A0A6G9KIF9,410,1.13.11.52,1,0.338,True,"(0.30,0.60]",1.13.11.52,1.0,True,1.13.11.52,1.0,True,both_correct
C0HLV0,27,3.2.1.4,3,0.0,True,0.00,,0.0,False,3.2.1.4,1.0,True,hitec_only
P0DUM0,700,4.3.1.24,4,0.402,True,"(0.30,0.60]",4.3.1.24;5.4.3.10,0.6666666666666666,True,4.3.1.24,1.0,True,both_correct
A0A345BJN2,218,3.1.1.1,3,0.0,True,0.00,,0.0,False,3.1.1.1,1.0,True,hitec_only
A0A345BJN1,723,4.3.1.24,4,0.402,True,"(0.30,0.60]",4.3.1.24;5.4.3.10,0.6666666666666666,True,4.3.1.24,1.0,True,both_correct
A0A2U7XUE3,209,5.5.1.6,5,0.701,True,"(0.60,0.90]",5.5.1.6,1.0,True,5.5.1.6,1.0,True,both_correct
A0A2U7XUH7,214,5.5.1.6,5,0.0,True,0.00,5.5.1.6,1.0,True,5.5.1.6,1.0,True,both_correct
P0DUN5,98,3.1.1.4,3,0.803,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DQQ0,121,3.1.1.4,3,0.801,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DQP9,78,3.1.1.4,3,0.447,True,"(0.30,0.60]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DUN0,106,3.1.1.4,3,0.736,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DUN1,123,3.1.1.4,3,0.838,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
P0DQP6,39,3.1.1.4,3,0.757,True,"(0.60,0.90]",,0.0,False,3.1.1.4,1.0,True,hitec_only
P0DUN2,123,3.1.1.4,3,0.854,True,"(0.60,0.90]",3.1.1.4,1.0,True,3.1.1.4,1.0,True,both_correct
A0A5S9I252,386,4.2.3.104;4.2.3.137;4.2.3.182;4.2.3.57,4,,False,not_available,,0.0,False,4.2.3.104;4.2.3.157;4.2.3.182;4.2.3.57,0.75,True,hitec_only
