uid,seq_len,true_ecs,true_l1,esm2_pred_ecs,esm2_hit,contact_only_pred_ecs,contact_only_hit,contactec_pred_ecs_recomputed,contactec_hit_recomputed,hitec_pred_ecs
A0A3G1DJK5,729,4.3.1.24,4,4.3.1.24,True,,False,4.3.1.24;5.4.3.10,True,4.3.1.24
A0A3G1DJL2,419,2.5.1.21,2,2.5.1.21,True,,False,2.5.1.21,True,2.5.1.21
A0A3G1DJF0,320,3.1.1.1,3,,False,,False,,False,3.1.1.1
A0A2I7G3B0,499,1.2.1.5,1,,False,,False,1.2.1.3,False,1.2.1.5
A0A2R6P624,458,2.4.1.91,2,,False,,False,2.4.1.115,False,2.4.1.91
A0A4D6Q4T7,372,1.14.11.9,1,,False,,False,1.14.11.9,True,1.14.11.9
A0A4D6Q9B0,372,1.14.11.9,1,1.14.11.9,True,,False,1.14.11.9,True,1.14.11.9
C0HLL2,146,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DQH9,172,1.4.3.2,1,,False,,False,1.4.3.2,True,1.4.3.2
A0A2U8QPE6,501,1.4.3.2,1,,False,1.4.3.2,True,1.4.3.2,True,1.4.3.2
P9WF03,920,3.2.1.40,3,,False,,False,,False,3.2.1.207
C0HLL8,49,1.11.1.9,1,,False,,False,,False,1.11.1.9
C0HLL7,50,2.5.1.18,2,,False,,False,,False,2.5.1.18
A0A4P8GFV8,379,4.2.3.104,4,,False,,False,,False,4.2.3.104
A0A2U8U2L5,430,4.2.3.104,4,,False,,False,,False,4.2.3.104
A0A5C1REZ4,494,1.2.1.3,1,,False,1.2.1.71,False,1.2.1.8,False,1.2.1.3
A0A5C1ZW08,178,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
A0A5C1ZXT8,178,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
A0A2K9RFY0,789,4.2.3.19,4,,False,,False,,False,4.2.3.19
A0A2K9RFZ8,814,5.5.1.14,5,,False,,False,,False,5.5.1.14
A0A5C2A2T2,178,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
A0A384XHA3,727,4.3.1.24,4,4.3.1.24,True,4.3.1.24,True,4.3.1.24;4.3.1.25,True,4.3.1.24
F6Q1T7,360,2.4.1.344;2.4.1.69,2,2.4.1.344,True,2.4.1.344,True,2.4.1.344,True,2.4.1.344;2.4.1.69
A0A3L7I2I8,807,3.1.1.4;3.1.1.5;3.1.2.2,3,,False,3.1.1.4,True,3.1.1.4,True,3.1.1.4;3.1.1.5;3.1.2.2
P9WF02,469,1.2.4.4,1,,False,,False,1.2.4.1;1.2.4.4,True,1.2.4.4
C0HLL3,304,3.1.1.32,3,,False,,False,3.1.1.32,True,3.1.1.32
A0A2K3DU55,269,3.1.3.27,3,,False,,False,,False,3.1.1.1
C0HLQ6,16,1.2.1.12,1,,False,,False,,False,1.2.1.12
C0HLL4,341,3.2.1.35,3,,False,,False,3.2.1.35,True,3.2.1.35
C0HLL5,331,3.2.1.35,3,,False,,False,3.2.1.35,True,3.2.1.35
A0A3G9HRC2,1103,1.14.14.1;1.6.2.4,1,,False,,False,1.14.14.1;1.6.2.4,True,3.2.1.183
P0DTE5,536,2.4.1.17,2,2.4.1.17,True,2.4.1.17,True,2.4.1.17,True,2.4.1.17
P0DTE4,527,2.4.1.17,2,2.4.1.17,True,,False,2.4.1.17,True,2.4.1.17
A0A348AXX5,538,3.5.1.4,3,3.5.1.4,True,,False,3.5.1.4,True,3.5.1.4
P9WEU6,320,3.5.5.1,3,3.5.5.1,True,3.5.5.1,True,3.5.5.1,True,3.5.5.1
A0A5Q0QMX0,372,4.2.3.126,4,,False,,False,,False,4.2.3.135
A0A5Q0QMX1,353,4.2.3.126,4,,False,,False,,False,4.2.3.198
A0A5Q0QNH9,387,4.2.3.135,4,,False,,False,,False,4.2.3.135
A0A5Q0QN66,659,4.2.3.135,4,,False,,False,2.5.1.29;4.2.3.43,False,4.2.3.135
A0A5Q0QSI8,430,4.2.3.88,4,,False,,False,,False,3.4.22.16
A0A5Q0QP64,342,4.2.3.126;4.2.3.127;4.2.3.15,4,,False,,False,,False,4.2.3.125
A0A5Q0QU70,358,4.2.3.125;4.2.3.126,4,,False,,False,,False,4.2.3.125
A0A5Q0QNJ2,389,4.2.3.88,4,,False,,False,,False,4.2.3.173
A0A5Q0QRJ3,346,4.2.3.125;4.2.3.126,4,,False,,False,,False,4.2.3.125;4.2.3.198
P9WEW2,369,4.2.3.135,4,,False,,False,,False,4.2.3.135;4.2.3.198
A0A4S8MAF3,353,4.2.3.135,4,,False,,False,,False,4.2.3.135
P9WEV7,744,2.5.1.29,2,4.2.3.6,False,,False,4.2.3.43,False,2.5.1.29
P9WEU5,371,4.2.1.66,4,3.5.5.1;4.2.1.66,True,,False,4.2.1.66,True,4.2.1.66
P9WEW0,351,4.2.3.135,4,,False,,False,,False,4.2.3.135;4.2.3.198
P9WEV6,728,2.5.1.29,2,,False,,False,2.5.1.29;4.2.3.43,True,2.5.1.29
P9WEW1,350,4.2.3.135,4,,False,,False,,False,4.2.3.135;4.2.3.198
P9WEX3,332,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29
P9WEX9,331,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29
P9WEW8,324,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29,True,2.5.1.1;2.5.1.10;2.5.1.29
P0DUB9,319,3.1.1.3,3,,False,,False,,False,3.1.1.3
A0A348B788,351,4.2.3.7,4,,False,,False,,False,4.2.3.135;4.2.3.7
A0A348B790,348,4.2.3.135,4,,False,,False,,False,4.2.3.135
A0A348B780,338,4.2.3.125;4.2.3.126;4.2.3.127;4.2.3.133,4,,False,,False,,False,4.2.3.127;4.2.3.133
A0A348B782,340,4.2.3.100,4,,False,,False,,False,4.2.3.128;4.2.3.212
A0A348B784,342,4.2.3.135,4,,False,,False,4.2.3.43,False,4.2.3.135
A0A2U1KZS6,709,1.6.2.4,1,,False,1.6.2.4,True,1.6.2.4,True,1.6.2.4
A0A2U1LIM9,704,1.6.2.4,1,,False,1.6.2.4,True,1.6.2.4,True,1.6.2.4
P0DUE2,365,2.7.7.65,2,,False,,False,3.1.21.4,False,2.7.7.65
P0DUE3,346,2.7.7.65,2,,False,,False,3.1.21.4,False,2.7.7.65
A0A5B8NIM2,262,5.4.99.5,5,,False,,False,5.4.99.5,True,5.4.99.5
P0DUD9,311,3.2.2.5,3,,False,,False,,False,3.2.2.5
A0A6C0WW38,369,2.1.1.160,2,,False,,False,2.1.1.160,True,2.1.1.159
A0A6C0WX00,370,2.1.1.159,2,,False,,False,,False,2.1.1.159
A0A2T5Y4G4,323,3.2.2.5,3,,False,,False,,False,3.2.2.5
P0DUE0,316,3.2.2.5,3,,False,,False,,False,3.2.2.5
P0DUE1,415,3.2.2.6,3,,False,,False,2.7.10.2,False,3.2.2.6
P0DUF3,1179,2.1.1.72,2,2.1.1.113;2.1.1.72,True,,False,,False,2.7.7.7
P0DQP1,1202,2.1.1.72,2,2.1.1.113;2.1.1.72,True,,False,2.7.7.7,False,2.7.7.89
P9WEY7,334,4.2.3.125;4.2.3.126;4.2.3.15;4.2.3.57,4,,False,,False,4.2.3.164,False,4.2.3.125;4.2.3.57
P9WEY4,337,4.2.3.125;4.2.3.57,4,,False,,False,,False,4.2.3.125;4.2.3.57
P0DUG4,48,3.1.1.4,3,,False,,False,3.1.1.4,True,3.1.1.4
A0A5P8DI07,597,4.2.3.131,4,,False,,False,,False,4.2.3.47
A0A3G1QTS7,794,4.2.3.19,4,,False,,False,,False,4.2.3.19
A0A3G1QTU5,766,5.5.1.13,5,,False,,False,,False,4.2.1.133
A0A5P8DHZ6,800,5.5.1.12,5,,False,,False,5.5.1.12;5.5.1.13,True,5.5.1.12
A0A5P8DI15,711,5.5.1.13,5,,False,,False,,False,4.2.1.133
A0A345BJQ0,415,2.5.1.21,2,2.5.1.21,True,,False,2.5.1.21,True,2.5.1.21
A0A455LN84,201,1.5.1.39,1,,False,1.5.1.3,False,1.5.1.39,True,1.5.1.39
P0DUF9,1205,2.1.1.72,2,2.1.1.113;2.1.1.72,True,,False,2.7.7.7,False,4.2.1.165
A0A455LLX4,198,1.5.1.39,1,,False,1.5.1.3,False,1.5.1.39,True,1.5.1.39
A0A6G9KIF9,410,1.13.11.52,1,,False,,False,1.13.11.52,True,1.13.11.52
C0HLV0,27,3.2.1.4,3,,False,,False,,False,3.2.1.4
P0DUM0,700,4.3.1.24,4,4.3.1.24,True,4.3.1.24,True,4.3.1.24;5.4.3.10,True,4.3.1.24
A0A345BJN2,218,3.1.1.1,3,,False,,False,,False,3.1.1.1
A0A345BJN1,723,4.3.1.24,4,4.3.1.24,True,,False,4.3.1.24;5.4.3.10,True,4.3.1.24
A0A2U7XUE3,209,5.5.1.6,5,5.2.1.8;5.5.1.6,True,5.5.1.6,True,5.5.1.6,True,5.5.1.6
A0A2U7XUH7,214,5.5.1.6,5,5.2.1.8;5.5.1.6,True,,False,5.5.1.6,True,5.5.1.6
P0DUN5,98,3.1.1.4,3,3.1.1.4,True,,False,3.1.1.4,True,3.1.1.4
P0DQQ0,121,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DQP9,78,3.1.1.4,3,3.1.1.4,True,,False,3.1.1.4,True,3.1.1.4
P0DUN0,106,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DUN1,123,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
P0DQP6,39,3.1.1.4,3,,False,,False,,False,3.1.1.4
P0DUN2,123,3.1.1.4,3,3.1.1.4,True,3.1.1.4,True,3.1.1.4,True,3.1.1.4
A0A5S9I252,386,4.2.3.104;4.2.3.137;4.2.3.182;4.2.3.57,4,,False,,False,,False,4.2.3.104;4.2.3.157;4.2.3.182;4.2.3.57
