accession,true_ec,pred_ec,covered,exact_hit,sample_f1
A0A8H7XP09,3.1.7.11;4.2.3.104;4.2.3.106;4.2.3.15;4.2.3.47;4.2.3.57,4.2.3.135,True,False,0.0
A0A8H8CMW1,4.2.3.127;4.2.3.128;4.2.3.129;4.2.3.91;4.2.3.98,4.2.3.127,True,True,0.3333333333333333
A0A8I5ZNK2,2.7.11.1,2.7.11.1,True,True,1.0
A0A8M1PLI9,1.2.1.3;1.2.1.31;1.2.1.8,1.2.1.3,True,True,0.5
A0A8V1ABE9,4.3.1.18,4.3.1.27,True,False,0.0
A0A974H8H3,3.1.26.3,3.1.26.3,True,True,1.0
A0A9E8G339,2.5.1.6,2.5.1.6,True,True,1.0
A0AA38KJ08,6.2.1.12,6.2.1.12,True,True,1.0
A0AA51Z3J4,4.1.1.25;4.1.1.28,4.1.1.25,True,True,0.6666666666666666
A0QT90,4.2.99.18,3.2.2.-,True,False,0.0
A0QT91,3.2.2.27,3.6.4.12,True,False,0.0
A0R0H1,3.4.16.4,2.4.1.129,True,False,0.0
A0R5I3,3.4.16.4,2.4.1.129,True,False,0.0
A1L293,3.1.3.16;3.1.3.27;3.1.3.48,3.1.3.16,True,True,0.5
A1Z7L8,2.7.11.30,2.7.11.30,True,True,1.0
A1ZAW0,3.1.26.3,3.1.26.3,True,True,1.0
A1ZB29,2.7.4.9,2.7.4.9,True,True,1.0
A2AQ92,1.6.3.1,1.11.1.-,True,False,0.0
A2I7M2,2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15,2.7.7.48,True,True,0.4
A2QC55,2.4.1.16,2.4.1.16,True,True,1.0
A2QC57,2.4.1.16,2.4.1.16,True,True,1.0
A2QTS4,2.4.1.25,3.2.1.1,True,False,0.0
A2QYT9,2.4.1.25,3.2.1.1,True,False,0.0
A2VD68,2.7.4.6,2.7.4.6,True,True,1.0
A3MTR6,5.3.1.8;5.3.1.9,5.3.1.8,True,True,0.6666666666666666
A3MU08,1.1.1.387,1.1.1.60,True,False,0.0
A5A8G0,4.2.3.103;4.2.3.19;4.2.3.29;5.5.1.13,5.5.1.12,True,False,0.0
A5D791,2.7.10.2;2.7.11.1,2.7.11.1,True,True,0.6666666666666666
A5K3U9,3.4.11.1,3.4.11.1,True,True,1.0
A5PJW8,2.7.7.48;2.7.7.6,2.7.7.6,True,True,0.6666666666666666
A5U6Z7,1.16.3.1,,False,False,0.0
A6HD62,2.3.2.27,2.3.2.27,True,True,1.0
A6YQT5,2.7.7.48;3.4.19.12;3.6.4.12;3.6.4.13,2.7.7.48,True,True,0.4
A7X657,2.7.1.134;2.7.1.159;2.7.4.21,2.7.1.134,True,True,0.5
A7X665,2.7.1.134;2.7.1.159;2.7.4.21,2.7.1.134,True,True,0.5
A7X672,2.7.1.134;2.7.1.159,2.7.1.134,True,True,0.6666666666666666
A7X680,2.7.1.134;2.7.1.159,2.7.1.134,True,True,0.6666666666666666
A8B2U2,4.1.2.13,4.1.2.13,True,True,1.0
A8BPK8,2.7.11.21,2.7.11.21,True,True,1.0
A8QPD9,2.7.7.48;3.4.21.98;3.6.1.15;3.6.4.13,2.7.7.48,True,True,0.4
B1MDC3,3.4.16.4,3.4.16.4,True,True,1.0
B1MH83,2.7.13.3,2.7.13.3,True,True,1.0
B2RVI8,2.8.2.14;2.8.2.2,2.8.2.14,True,True,0.6666666666666666
B2RXA7,1.14.14.1,1.14.13.93,True,False,0.0
B5LAT8,1.1.1.195,1.1.1.195,True,True,1.0
B5THE3,3.2.1.10;3.2.1.48,3.2.1.10,True,True,0.6666666666666666
B6BQB2,1.14.13.148,1.14.13.101,True,False,0.0
B6ZKM3,3.2.1.105,2.4.1.219,True,False,0.0
B8DUI5,3.5.1.24,3.5.1.24,True,True,1.0
B8NLZ3,3.1.3.16,3.1.3.16,True,True,1.0
B8QIR1,3.5.1.28,3.5.1.28,True,True,1.0
C0HLV2,3.4.21.26,,False,False,0.0
C0HM79,3.1.1.4,3.1.1.4,True,True,1.0
C0HMB0,1.4.3.1,1.4.3.3,True,False,0.0
C0JJA4,2.7.7.48;2.7.7.88,2.1.1.296,True,False,0.0
C0MAL8,3.2.2.5,,False,False,0.0
C1G1C3,1.1.1.3,1.1.1.3,True,True,1.0
C4M4T9,3.1.3.57;3.1.3.7,3.1.3.7,True,True,0.6666666666666666
C4M633,3.1.3.57;3.1.3.7,3.1.3.7,True,True,0.6666666666666666
C4R941,2.4.1.186,2.4.1.186,True,True,1.0
C6SZ50,4.1.1.36,4.1.1.36,True,True,1.0
C6TA59,4.1.1.36,4.1.1.36,True,True,1.0
D0C8Z9,3.4.16.4,3.4.16.4,True,True,1.0
D0RB01,3.4.19.12,3.4.19.12,True,True,1.0
D3KY98,2.1.1.128,2.1.1.267,True,False,0.0
D3KY99,2.1.1.128,2.1.1.267,True,False,0.0
D3Z8C9,3.1.4.35,3.1.4.35,True,True,1.0
D3ZDI8,3.1.4.35,3.1.4.35,True,True,1.0
D3ZDM7,1.4.3.1,1.4.3.1,True,True,1.0
D4A4P4,2.7.7.2;3.6.1.18;3.6.1.22,2.7.7.2,True,True,0.5
D4GSD6,2.7.1.3,,False,False,0.0
D9J041,1.16.1.1,1.16.1.1,True,True,1.0
D9X0I3,4.2.1.3,4.2.1.3,True,True,1.0
D9YT79,3.6.1.13;3.6.1.22;3.6.1.9,3.1.4.1,True,False,0.0
E2RTQ7,2.7.11.1,2.7.11.1,True,True,1.0
E3Q1H1,2.3.1.4,2.3.1.4,True,True,1.0
E4Q361,3.2.1.21;3.2.1.23;3.2.1.37;3.2.1.74;3.2.1.91,3.2.1.21,True,True,0.3333333333333333
E5D8F2,2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15,2.7.7.48,True,True,0.4
E6Y8B9,3.4.21.62,3.4.21.62,True,True,1.0
E7F654,2.7.1.78,2.7.1.78,True,True,1.0
E8WYN5,4.1.2.10,,False,False,0.0
E9EFJ1,2.4.1.16,2.4.1.16,True,True,1.0
E9QSG0,2.3.2.27,2.3.2.27,True,True,1.0
F1N206,1.8.1.4,1.8.1.4,True,True,1.0
F2YTN4,2.1.1.267,2.1.1.68,True,False,0.0
F4HWU0,2.7.11.1,2.7.11.1,True,True,1.0
F4KAV2,1.14.11.51,1.14.11.33,True,False,0.0
F5L3T2,4.2.1.84,4.2.1.84,True,True,1.0
F6NXI9,2.7.7.72,2.7.7.72,True,True,1.0
F6RBT1,1.11.1.7,1.11.1.7,True,True,1.0
F8RL29,2.1.1.56;2.1.1.57;2.7.7.48;3.6.4.12;3.6.4.13,2.1.1.-,True,False,0.0
F8VPZ3,3.4.19.12,3.4.19.12,True,True,1.0
F9VNG5,1.1.1.3,1.1.1.3,True,True,1.0
G0RBE3,2.7.11.1,2.7.11.1,True,True,1.0
G0SGC7,3.6.5.5,3.6.5.5,True,True,1.0
G1CRV4,2.1.1.56;2.1.1.57;2.7.7.48;3.4.21.91;3.6.1.15;3.6.4.13,2.1.1.56,True,True,0.2857142857142857
G1SPE9,2.3.1.42,2.3.1.42,True,True,1.0
G1TNM3,4.2.99.18,4.2.99.18,True,True,1.0
G1X456,2.7.11.11,2.7.11.11,True,True,1.0
G2WS87,2.4.1.16,2.4.1.16,True,True,1.0
G2WX04,2.7.12.2,2.7.12.2,True,True,1.0
G2WYE8,1.15.1.1,1.15.1.1,True,True,1.0
G2X495,3.2.1.15,3.2.1.15,True,True,1.0
G2X6G3,2.7.11.1,2.7.11.1,True,True,1.0
G3M8F4,2.7.7.48;3.6.1.15;3.6.4.13,2.7.7.48,True,True,0.5
G3MZY8,2.7.7.48;2.7.7.6,2.7.7.6,True,True,0.6666666666666666
G3UYQ4,2.7.4.4;2.7.4.6,2.7.4.4,True,True,0.6666666666666666
G3X8Y1,2.3.2.27,2.3.2.27,True,True,1.0
G4N0X4,2.4.1.16,2.4.1.16,True,True,1.0
G4N2X9,1.13.11.62,1.13.11.62,True,True,1.0
G4N4J5,1.13.11.60;5.4.4.6,1.13.11.60,True,True,0.6666666666666666
G4NDG4,3.4.23.25,3.4.23.25,True,True,1.0
G4V9S0,2.7.4.3,2.7.4.3,True,True,1.0
G4VJD5,5.4.2.11,5.4.2.11,True,True,1.0
G4VQX9,4.3.2.2,4.3.2.2,True,True,1.0
G4Z2L3,2.4.1.16,2.4.1.16,True,True,1.0
G5EB74,2.4.1.16,2.4.1.16,True,True,1.0
G5EFH8,4.2.1.22,4.2.1.22,True,True,1.0
G5EJN7,1.14.14.1;1.6.2.4,1.14.14.1,True,True,0.6666666666666666
G7IFI7,5.3.1.16,5.3.1.16,True,True,1.0
G7IYC1,1.2.1.44,1.1.1.219,True,False,0.0
G7JEE5,1.2.1.44,1.2.1.44,True,True,1.0
G7LCC3,2.7.13.3,2.7.13.3,True,True,1.0
G8BHG6,1.1.1.184,1.1.1.289,True,False,0.0
H1XW48,3.4.14.4,,False,False,0.0
H6C7U6,2.4.1.16,2.4.1.16,True,True,1.0
H6CAN5,2.4.1.16,2.4.1.16,True,True,1.0
I1MRZ6,2.3.1.20,2.3.1.20,True,True,1.0
I1RE84,2.4.1.16,2.4.1.16,True,True,1.0
I3SL57,1.14.14.18,1.14.14.18,True,True,1.0
I6L8L7,3.2.1.143,3.2.1.143,True,True,1.0
I6XFS7,2.1.1.171,2.1.1.171,True,True,1.0
I6YGX2,3.4.16.4,2.4.1.129,True,False,0.0
J4KQN3,2.3.2.23,2.3.2.23,True,True,1.0
J4KQS2,4.1.99.3,4.1.99.3,True,True,1.0
J9VJP1,2.1.2.3;3.5.4.10,2.1.2.3,True,True,0.6666666666666666
J9VPM2,2.4.1.186,2.4.1.186,True,True,1.0
J9VUY6,6.3.5.2,6.3.5.2,True,True,1.0
K9L4P7,1.1.3.4,1.1.3.4,True,True,1.0
M5AAG8,2.7.7.7;3.6.4.12,,False,False,0.0
M9MS50,2.7.11.1,2.7.11.1,True,True,1.0
M9PF61,1.1.1.21;1.1.1.300;1.1.1.372,1.1.1.2,True,False,0.0
M9PGC5,2.7.11.1,2.7.11.1,True,True,1.0
M9Z1G5,2.1.1.76,2.1.1.68,True,False,0.0
N0A3C0,2.7.7.48;3.4.22.66;3.6.1.15,2.7.7.48,True,True,0.5
O07732,4.6.1.1,3.1.1.85,True,False,0.0
O13281,2.4.1.16,2.4.1.16,True,True,1.0
O18333,3.6.5.2,2.3.2.27,True,False,0.0
O22448,1.11.1.9,1.11.1.15,True,False,0.0
O24022,3.4.11.1;3.4.11.5,3.4.11.1,True,True,0.6666666666666666
O44074,1.3.5.1,1.3.5.1,True,True,1.0
O50131,2.6.1.13,5.1.1.21,True,False,0.0
O50330,3.6.4.6,,False,False,0.0
O53611,1.1.1.42,1.1.1.42,True,True,1.0
O58802,1.1.1.3,1.1.1.3,True,True,1.0
O64768,2.7.11.1,2.7.11.25,True,False,0.0
O76742,3.6.5.2,,False,False,0.0
O87489,3.5.2.6,3.5.2.6,True,True,1.0
O93809,2.4.1.16,2.4.1.16,True,True,1.0
O96795,2.4.1.83,2.4.1.83,True,True,1.0
P0DO58,2.4.1.115,2.4.1.234,True,False,0.0
P0DO59,2.4.1.115,2.4.1.234,True,False,0.0
P0DO78,2.3.3.17,2.3.3.17,True,True,1.0
P0DRM4,3.1.1.4,3.1.1.4,True,True,1.0
P0DW60,3.2.2.5,,False,False,0.0
P0DX29,3.1.1.1;3.1.1.3;3.1.1.74,3.1.1.101,True,False,0.0
P0DX84,6.2.1.44,6.2.1.44,True,True,1.0
P0DX85,3.1.1.32,3.1.1.5,True,False,0.0
P0DXA3,2.7.7.65;2.7.7.85,,False,False,0.0
P0DXD2,3.5.1.24,3.5.1.24,True,True,1.0
P0DXN8,3.2.2.5,,False,False,0.0
P0DY66,3.3.2.10,3.8.1.3,True,False,0.0
P71420,3.5.2.6,3.5.2.6,True,True,1.0
P71905,3.1.26.12,3.1.26.12,True,True,1.0
P74535,4.3.1.12,3.5.3.18,True,False,0.0
P79922,2.1.1.37,2.1.1.37,True,True,1.0
P97995,2.4.1.16,2.4.1.16,True,True,1.0
P9WEF2,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.-,True,False,0.0
Q01910,2.7.7.49;2.7.7.7,2.7.7.49,True,True,0.6666666666666666
Q04230,3.6.4.6,,False,False,0.0
Q09HD0,3.5.2.6,3.5.2.6,True,True,1.0
Q0CPG9,4.2.1.9,4.2.1.9,True,True,1.0
Q0D1W9,1.14.14.1;1.6.2.4,1.14.14.1,True,True,0.6666666666666666
Q0S4Q9,1.3.99.5,1.3.99.5,True,True,1.0
Q10L01,2.3.1.225,2.3.1.225,True,True,1.0
Q1AYM8,1.4.3.3,1.4.3.3,True,True,1.0
Q24468,2.7.11.30,2.7.11.30,True,True,1.0
Q26994,5.2.1.8,5.2.1.8,True,True,1.0
Q27493,2.7.7.6,2.7.7.6,True,True,1.0
Q2PAY2,2.7.11.1,2.7.11.1,True,True,1.0
Q2PAY3,2.7.11.1,2.7.11.1,True,True,1.0
Q2R560,2.7.11.1,2.7.11.1,True,True,1.0
Q2TR58,3.5.2.6,3.5.2.6,True,True,1.0
Q2UF71,2.4.1.16,2.4.1.16,True,True,1.0
Q2WE96,4.2.1.121,4.2.1.92,True,False,0.0
Q2YPC4,3.2.2.6,,False,False,0.0
Q33862,1.3.5.1,1.3.5.1,True,True,1.0
Q381X9,2.7.7.50,2.7.7.50,True,True,1.0
Q384J7,2.7.11.1,2.7.11.1,True,True,1.0
Q388N2,3.1.3.16,3.1.3.16,True,True,1.0
Q38AH1,5.4.2.12,5.4.2.12,True,True,1.0
Q46944,3.1.21.4,,False,False,0.0
Q48434,3.5.2.6,3.5.2.6,True,True,1.0
Q4FKP8,2.1.1.56,2.1.1.56,True,True,1.0
Q4Q1M7,5.4.2.8,5.4.2.8,True,True,1.0
Q4W1X2,5.4.99.9,,False,False,0.0
Q4WBI4,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.-,True,False,0.0
Q4WD22,3.2.1.14,3.2.1.73,True,False,0.0
Q4WWR8,1.2.1.11,1.2.1.11,True,True,1.0
Q4X0H6,2.4.1.16,2.4.1.16,True,True,1.0
Q4X241,3.6.5.2,,False,False,0.0
Q53AM4,3.4.21.90,3.4.21.90,True,True,1.0
Q57V03,2.1.1.56;2.7.7.50,2.1.1.56,True,True,0.6666666666666666
Q57YS8,2.7.11.1,2.7.11.1,True,True,1.0
Q584I8,2.7.11.1,2.7.11.1,True,True,1.0
Q58T34,2.7.1.52;2.7.7.30,2.7.1.52,True,True,0.6666666666666666
Q59S64,2.7.11.1,2.7.11.1,True,True,1.0
Q59Y37,1.6.5.2,1.6.5.2,True,True,1.0
Q5ALM0,1.2.1.11,1.2.1.11,True,True,1.0
Q5BA93,4.2.2.2,4.2.2.2,True,True,1.0
Q5F8J4,1.1.1.3,1.1.1.3,True,True,1.0
Q5JHC6,2.3.1.193,2.3.1.193,True,True,1.0
Q5JIW4,3.5.1.1,3.5.1.1,True,True,1.0
Q5KPK7,1.2.1.11,1.2.1.11,True,True,1.0
Q5TVM9,3.6.1.5,3.6.1.5,True,True,1.0
Q5U7L7,3.5.2.6,3.5.2.6,True,True,1.0
Q66KP0,2.7.4.6,2.7.4.6,True,True,1.0
Q69431,2.7.7.48;3.4.21.98;3.6.1.15;3.6.4.13,2.7.7.48,True,True,0.4
Q6D291,3.5.1.11,,False,False,0.0
Q6DDS9,4.2.99.18,3.6.4.12,True,False,0.0
Q6DDT4,3.1.11.2,3.1.-.-,True,False,0.0
Q6DPL2,3.2.1.18,3.2.1.18,True,True,1.0
Q6F4N4,3.2.1.81,3.2.1.81,True,True,1.0
Q6FNA9,2.7.7.2,2.7.7.2,True,True,1.0
Q6FRH8,2.7.11.1,2.7.11.1,True,True,1.0
Q6FSR7,2.7.1.137,2.7.1.137,True,True,1.0
Q6IP81,3.3.2.6;3.4.11.4,3.3.2.6,True,True,0.6666666666666666
Q6K461,3.6.1.52,3.1.3.48,True,False,0.0
Q6PMV1,2.7.7.48;3.4.22.28;3.4.22.46;3.6.1.15,2.7.7.48,True,True,0.4
Q6XEC0,3.5.2.6,3.5.2.6,True,True,1.0
Q6Y7T6,3.5.1.28,3.5.1.28,True,True,1.0
Q6YNE9,3.1.3.8,3.1.3.8,True,True,1.0
Q73MU2,2.6.1.37,2.6.1.37,True,True,1.0
Q75WF1,1.4.3.1,1.4.3.3,True,False,0.0
Q76EC9,4.2.2.2,4.2.2.9,True,False,0.0
Q79FW0,2.6.1.21;4.1.3.38,2.6.1.42,True,False,0.0
Q7KN92,2.4.1.244,2.4.1.-,True,False,0.0
Q7KRU8,1.16.3.1,1.16.3.1,True,True,1.0
Q7PPZ8,3.4.21.4,3.4.21.1,True,False,0.0
Q7Q2T8,3.4.11.2,3.4.11.2,True,True,1.0
Q7S8A6,2.1.3.2;3.5.1.2;6.3.4.16;6.3.5.5,2.1.3.2,True,True,0.4
Q7S9V5,3.1.3.8,3.1.3.8,True,True,1.0
Q7SH52,6.3.4.16;6.3.5.5,6.3.5.5,True,True,0.6666666666666666
Q7WYA8,3.5.2.6,3.5.2.6,True,True,1.0
Q7X2D3,1.4.3.3,1.4.3.3,True,True,1.0
Q7Y3F1,3.5.1.28,,False,False,0.0
Q801Z8,3.2.1.35,3.2.1.35,True,True,1.0
Q80J95,2.7.7.48;3.4.22.66;3.6.1.15,2.7.7.48,True,True,0.5
Q814Z4,2.6.1.92,2.6.1.87,True,False,0.0
Q820A8,2.7.11.1,2.7.11.1,True,True,1.0
Q82YZ0,2.7.13.3,2.7.13.3,True,True,1.0
Q837L8,4.2.2.1;4.2.2.5,4.2.2.12,True,False,0.0
Q83V25,4.1.1.45,4.1.1.45,True,True,1.0
Q83YH3,1.14.15.9,1.14.15.9,True,True,1.0
Q840P9,3.5.2.6,3.5.2.6,True,True,1.0
Q865Y9,3.6.1.13,3.6.1.45,True,False,0.0
Q86PD7,2.3.2.5,2.3.2.5,True,True,1.0
Q88JH5,1.1.2.8,1.1.2.8,True,True,1.0
Q89Y83,2.7.7.85,,False,False,0.0
Q8A6N1,3.4.14.4,3.4.14.4,True,True,1.0
Q8A6W6,3.2.1.65,3.2.1.26,True,False,0.0
Q8B3M2,2.7.7.48;3.6.4.13,2.7.7.48,True,True,0.6666666666666666
Q8CBC7,2.1.1.205,2.1.1.205,True,True,1.0
Q8DPI6,2.7.7.15,2.7.7.13,True,False,0.0
Q8DPL8,2.7.13.3,2.7.13.3,True,True,1.0
Q8EG04,3.6.5.2,,False,False,0.0
Q8GUT5,2.3.1.255;2.3.1.48,2.3.1.-,True,False,0.0
Q8I2J3,3.4.11.21,3.4.11.21,True,True,1.0
Q8I2X3,3.1.3.2,3.1.3.2,True,True,1.0
Q8I4R4,3.2.1.14,3.2.1.14,True,True,1.0
Q8I8I2,4.1.2.13,4.1.2.13,True,True,1.0
Q8IBT4,2.8.1.7,2.8.1.7,True,True,1.0
Q8IDQ9,2.1.1.103,2.1.1.103,True,True,1.0
Q8IJ32,3.6.5.5,3.6.5.5,True,True,1.0
Q8IJM5,5.4.2.2;5.4.2.8,5.4.2.8,True,True,0.6666666666666666
Q8IJR9,6.3.5.2,6.3.5.2,True,True,1.0
Q8IL11,3.4.11.1,3.4.11.1,True,True,1.0
Q8ILY1,2.7.7.7,3.6.4.12,True,False,0.0
Q8IPZ3,1.6.5.2,1.6.5.5,True,False,0.0
Q8IQG9,2.7.4.3,2.7.4.3,True,True,1.0
Q8JJT0,2.7.7.48;3.4.22.28;3.4.22.29;3.6.1.15,2.7.7.48,True,True,0.4
Q8KN66,5.1.3.7,5.1.3.7,True,True,1.0
Q8KSA6,3.5.2.6,3.5.2.6,True,True,1.0
Q8L617,2.7.11.1,2.7.11.1,True,True,1.0
Q8RB32,3.1.4.46,3.1.4.46,True,True,1.0
Q8RWX4,2.7.11.1,2.3.2.27,True,False,0.0
Q8T913,2.3.2.27,2.3.2.27,True,True,1.0
Q8TGV2,2.4.1.16,2.4.1.16,True,True,1.0
Q8WQC9,3.6.5.5,3.6.5.5,True,True,1.0
Q8WSR3,1.3.5.1,1.3.5.1,True,True,1.0
Q8YF53,3.2.2.6,,False,False,0.0
Q8YMD9,4.3.1.12,1.5.1.8,True,False,0.0
Q8ZPP5,2.7.13.3,2.7.13.3,True,True,1.0
Q93227,2.3.2.27,2.3.2.27,True,True,1.0
Q93F76,3.5.2.6,3.5.2.6,True,True,1.0
Q93Z30,2.7.11.1,2.7.11.1,True,True,1.0
Q940H2,2.3.1.48,2.3.1.-,True,False,0.0
Q94AC8,2.3.1.255;2.3.1.48,,False,False,0.0
Q95P65,3.6.1.5,3.6.1.5,True,True,1.0
Q95ZD7,5.4.2.8,5.4.2.8,True,True,1.0
Q98TY6,2.3.2.27,2.3.2.27,True,True,1.0
Q9AQQ8,3.5.1.44,,False,False,0.0
Q9C666,2.3.1.48;2.3.1.87,2.3.1.87,True,True,0.6666666666666666
Q9C7G6,2.3.1.255;2.3.1.48,,False,False,0.0
Q9FGB1,2.7.11.1,2.7.11.1,True,True,1.0
Q9HGY3,1.4.3.3,1.4.3.3,True,True,1.0
Q9HX69,3.1.4.52,3.1.4.52,True,True,1.0
Q9HY79,1.16.3.1,1.16.3.1,True,True,1.0
Q9I485,4.2.1.171,,False,False,0.0
Q9I4L5,2.7.7.65,2.7.7.65,True,True,1.0
Q9JN36,3.4.13.22,3.4.16.4,True,False,0.0
Q9KHI5,2.7.13.3,2.7.13.3,True,True,1.0
Q9KJY7,3.5.2.6,3.5.2.6,True,True,1.0
