uid,seq_len,true_ecs,true_l1,hitec_pred_ecs,hitec_top1_prob,hitec_per_protein_f1,hitec_hit,contactec_pred_ecs,contactec_top5,contactec_per_protein_f1,contactec_hit,case_status
P9WF03,920,3.2.1.40,3,3.2.1.207,0.00025992633891291916,0.0,False,,3.2.1.80:0.0791;3.2.1.25:0.0687;3.2.1.41:0.0656;3.2.1.23:0.0557;3.2.1.24:0.0289,0.0,False,both_wrong
C0HLL8,49,1.11.1.9,1,1.11.1.9,0.9998986721038818,1.0,True,,1.15.1.1:0.0409;2.5.1.18:0.0408;1.11.1.7:0.0127;5.2.1.8:0.0048;5.3.4.1:0.0030,0.0,False,hitec_only
C0HLL7,50,2.5.1.18,2,2.5.1.18,0.9999339580535889,1.0,True,,2.3.1.74:0.0263;2.3.1.85:0.0165;2.4.1.115:0.0070;3.2.1.21:0.0066;1.4.3.4:0.0043,0.0,False,hitec_only
A0A4P8GFV8,379,4.2.3.104,4,4.2.3.104,0.9999388456344604,1.0,True,,2.3.1.184:0.0154;4.3.1.18:0.0107;4.1.1.22:0.0038;2.2.1.12:0.0030;4.1.3.27:0.0029,0.0,False,hitec_only
A0A2U8U2L5,430,4.2.3.104,4,4.2.3.104,0.9999182224273682,1.0,True,,3.2.2.22:0.4321;3.8.1.10:0.1352;2.7.11.1:0.0544;1.3.3.3:0.0198;3.4.22.45:0.0123,0.0,False,hitec_only
A0A5C1REZ4,494,1.2.1.3,1,1.2.1.3,0.9975312948226929,1.0,True,1.2.1.8,1.2.1.8:0.8630;1.2.1.89:0.0783;1.2.1.3:0.0566;1.2.1.16:0.0101;1.2.1.47:0.0076,0.0,False,hitec_only
A0A5C1ZW08,178,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:0.9344;3.2.1.17:0.0658;3.1.27.1:0.0003;3.1.3.2:0.0002;2.3.2.27:0.0002,1.0,True,both_correct
A0A5C1ZXT8,178,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:0.9690;3.2.1.17:0.0352;3.1.27.1:0.0006;3.1.3.2:0.0004;3.1.1.74:0.0001,1.0,True,both_correct
A0A2K9RFY0,789,4.2.3.19,4,4.2.3.19,0.9980820417404175,1.0,True,,4.2.3.19:0.3160;4.2.3.103:0.1722;4.2.3.28:0.1042;4.2.3.35:0.0737;4.2.3.30:0.0649,0.0,False,hitec_only
A0A2K9RFZ8,814,5.5.1.14,5,5.5.1.14,0.9988879561424255,1.0,True,,5.5.1.12:0.4013;4.2.1.133:0.2411;5.5.1.13:0.2269;4.2.3.32:0.2060;4.2.3.132:0.1749,0.0,False,hitec_only
A0A5C2A2T2,178,3.1.1.4,3,3.1.1.4,1.0,1.0,True,3.1.1.4,3.1.1.4:0.9768;3.2.1.17:0.0657;3.1.3.2:0.0009;3.1.27.1:0.0007;2.3.2.27:0.0002,1.0,True,both_correct
A0A384XHA3,727,4.3.1.24,4,4.3.1.24,0.999946117401123,1.0,True,4.3.1.24;4.3.1.25,4.3.1.24:0.9982;4.3.1.25:0.5309;5.4.3.10:0.0353;2.5.1.48:0.0000;4.3.1.3:0.0000,0.6666666666666666,True,both_correct
F6Q1T7,360,2.4.1.344;2.4.1.69,2,2.4.1.344;2.4.1.69,0.9999756813049316,1.0,True,2.4.1.344,2.4.1.344:0.9998;2.4.1.69:0.0125;2.4.1.222:0.0007;2.4.1.87:0.0004;2.4.1.228:0.0001,0.6666666666666666,True,both_correct
A0A3L7I2I8,807,3.1.1.4;3.1.1.5;3.1.2.2,3,3.1.1.4;3.1.1.5;3.1.2.2,1.0,1.0,True,3.1.1.4,3.1.1.4:0.9993;3.1.4.12:0.0260;3.4.19.12:0.0177;3.1.3.48:0.0091;2.3.2.26:0.0031,0.5,True,both_correct
P9WF02,469,1.2.4.4,1,1.2.4.4,0.9999988079071045,1.0,True,1.2.4.1;1.2.4.4,1.2.4.4:0.8397;1.2.4.1:0.6717;1.17.7.1:0.0009;6.1.1.15:0.0006;1.8.7.1:0.0002,0.6666666666666666,True,both_correct
C0HLL3,304,3.1.1.32,3,3.1.1.32,0.9993939399719238,1.0,True,3.1.1.32,3.1.1.32:0.9992;3.1.1.4:0.0434;3.1.1.2:0.0145;3.1.1.3:0.0074;3.1.1.26:0.0052,1.0,True,both_correct
A0A2K3DU55,269,3.1.3.27,3,3.1.1.1,0.00043905957136303186,0.0,False,,2.7.1.21:0.0007;4.2.1.93:0.0006;2.5.1.61:0.0002;1.4.3.5:0.0001;5.3.1.6:0.0001,0.0,False,both_wrong
C0HLQ6,16,1.2.1.12,1,1.2.1.12,0.9999656677246094,1.0,True,,1.10.3.2:0.0406;3.4.21.4:0.0366;1.11.1.7:0.0360;1.1.1.37:0.0346;2.8.4.1:0.0328,0.0,False,hitec_only
C0HLL4,341,3.2.1.35,3,3.2.1.35,0.9999908208847046,1.0,True,3.2.1.35,3.2.1.35:0.9995;2.1.1.57:0.0001;3.1.22.1:0.0001;3.5.2.17:0.0001;3.2.1.18:0.0000,1.0,True,both_correct
C0HLL5,331,3.2.1.35,3,3.2.1.35,1.0,1.0,True,3.2.1.35,3.2.1.35:1.0000;3.1.22.1:0.0000;2.4.99.7:0.0000;2.4.1.88:0.0000;2.4.1.146:0.0000,1.0,True,both_correct
A0A3G9HRC2,1103,1.14.14.1;1.6.2.4,1,3.2.1.183,0.0005955256638117135,0.0,False,1.14.14.1;1.6.2.4,1.6.2.4:1.0000;1.14.14.1:0.9985;4.2.1.119:0.0019;5.1.1.17:0.0001;1.17.3.2:0.0001,1.0,True,contactec_only
P0DTE5,536,2.4.1.17,2,2.4.1.17,1.0,1.0,True,2.4.1.17,2.4.1.17:0.9995;2.4.1.297:0.0005;2.6.1.99:0.0003;2.6.1.27:0.0001;2.6.1.80:0.0001,1.0,True,both_correct
P0DTE4,527,2.4.1.17,2,2.4.1.17,1.0,1.0,True,2.4.1.17,2.4.1.17:0.9999;2.4.1.297:0.0002;2.4.99.18:0.0001;2.4.1.47:0.0000;1.14.14.29:0.0000,1.0,True,both_correct
A0A348AXX5,538,3.5.1.4,3,3.5.1.4,0.9999574422836304,1.0,True,3.5.1.4,3.5.1.4:0.9994;3.5.1.13:0.0126;3.5.3.11:0.0025;3.5.1.99:0.0014;3.5.1.14:0.0010,1.0,True,both_correct
P9WEU6,320,3.5.5.1,3,3.5.5.1,0.9999855756759644,1.0,True,3.5.5.1,3.5.5.1:0.9878;3.5.5.5:0.0001;3.5.5.7:0.0000;3.5.1.114:0.0000;3.5.5.4:0.0000,1.0,True,both_correct
A0A5Q0QMX0,372,4.2.3.126,4,4.2.3.135,0.999958872795105,0.0,False,,4.2.3.165:0.3607;4.2.3.9:0.0863;2.5.1.29:0.0855;4.2.3.164:0.0772;4.2.3.127:0.0753,0.0,False,both_wrong
A0A5Q0QMX1,353,4.2.3.126,4,4.2.3.198,0.9905988574028015,0.0,False,,4.2.3.135:0.1557;4.2.3.164:0.0970;4.2.3.165:0.0917;4.2.3.128:0.0805;4.2.3.91:0.0799,0.0,False,both_wrong
A0A5Q0QNH9,387,4.2.3.135,4,4.2.3.135,0.9997921586036682,1.0,True,,4.2.3.9:0.4953;4.2.3.135:0.2878;4.2.3.165:0.1461;4.2.3.127:0.0952;4.2.3.91:0.0949,0.0,False,hitec_only
A0A5Q0QN66,659,4.2.3.135,4,4.2.3.135,0.9999902248382568,1.0,True,2.5.1.29;4.2.3.43,4.2.3.43:0.9433;2.5.1.29:0.7381;4.2.3.9:0.2782;4.1.1.1:0.1492;4.2.3.19:0.0936,0.0,False,hitec_only
A0A5Q0QSI8,430,4.2.3.88,4,3.4.22.16,0.011271178722381592,0.0,False,,4.2.3.165:0.2277;2.5.1.18:0.1305;2.5.1.103:0.0441;2.5.1.47:0.0424;4.2.3.146:0.0416,0.0,False,both_wrong
A0A5Q0QP64,342,4.2.3.126;4.2.3.127;4.2.3.15,4,4.2.3.125,0.9999589920043945,0.0,False,,4.2.3.129:0.4798;4.2.3.91:0.4772;4.2.3.127:0.4754;4.2.3.128:0.4521;4.2.3.164:0.2831,0.0,False,both_wrong
A0A5Q0QU70,358,4.2.3.125;4.2.3.126,4,4.2.3.125,0.9992445707321167,0.6666666666666666,True,,4.2.3.9:0.4130;4.2.3.165:0.3420;4.2.3.91:0.1503;4.2.3.127:0.1422;4.2.3.129:0.1389,0.0,False,hitec_only
A0A5Q0QNJ2,389,4.2.3.88,4,4.2.3.173,0.0006638320628553629,0.0,False,,4.2.3.165:0.2979;4.2.3.164:0.0115;4.2.3.74:0.0048;4.2.3.128:0.0009;4.2.3.91:0.0007,0.0,False,both_wrong
A0A5Q0QRJ3,346,4.2.3.125;4.2.3.126,4,4.2.3.125;4.2.3.198,0.9682130813598633,0.5,True,,4.2.3.165:0.3931;4.2.3.74:0.2548;4.2.3.91:0.1239;4.2.3.129:0.1239;4.2.3.128:0.1122,0.0,False,hitec_only
P9WEW2,369,4.2.3.135,4,4.2.3.135;4.2.3.198,1.0,0.6666666666666666,True,,4.2.3.135:0.2235;4.2.3.74:0.1729;4.2.3.165:0.0815;3.1.3.67:0.0218;4.4.1.14:0.0123,0.0,False,hitec_only
A0A4S8MAF3,353,4.2.3.135,4,4.2.3.135,0.9999479055404663,1.0,True,,4.2.3.74:0.1107;4.2.3.135:0.0900;4.2.3.165:0.0534;4.2.3.9:0.0470;4.2.3.164:0.0103,0.0,False,hitec_only
P9WEV7,744,2.5.1.29,2,2.5.1.29,0.9999940395355225,1.0,True,4.2.3.43,4.2.3.43:0.8960;2.5.1.29:0.1655;4.2.3.9:0.0517;4.2.3.6:0.0403;2.7.2.4:0.0029,0.0,False,hitec_only
P9WEU5,371,4.2.1.66,4,4.2.1.66,1.0,1.0,True,4.2.1.66,4.2.1.66:1.0000;6.3.5.1:0.0000;3.5.5.1:0.0000;4.2.1.33:0.0000;4.2.1.130:0.0000,1.0,True,both_correct
P9WEW0,351,4.2.3.135,4,4.2.3.135;4.2.3.198,0.9999988079071045,0.6666666666666666,True,,4.2.3.135:0.3554;4.2.3.165:0.1758;4.2.3.74:0.1094;2.5.1.29:0.1079;4.2.3.43:0.0389,0.0,False,hitec_only
P9WEV6,728,2.5.1.29,2,2.5.1.29,1.0,1.0,True,2.5.1.29;4.2.3.43,4.2.3.43:0.9969;2.5.1.29:0.8627;4.2.3.9:0.0292;4.2.3.19:0.0029;4.2.3.6:0.0019,0.6666666666666666,True,both_correct
P9WEW1,350,4.2.3.135,4,4.2.3.135;4.2.3.198,0.9999986886978149,0.6666666666666666,True,,4.2.3.135:0.2574;4.2.3.165:0.1660;4.2.3.74:0.1335;4.2.3.164:0.0943;2.5.1.29:0.0667,0.0,False,hitec_only
P9WEX3,332,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,1.0,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.10:1.0000;2.5.1.1:1.0000;2.5.1.29:0.9998;2.5.1.103:0.0000;4.2.3.135:0.0000,1.0,True,both_correct
P9WEX9,331,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,1.0,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.10:1.0000;2.5.1.1:1.0000;2.5.1.29:1.0000;3.1.3.21:0.0000;4.2.3.135:0.0000,1.0,True,both_correct
P9WEW8,324,2.5.1.1;2.5.1.10;2.5.1.29,2,2.5.1.1;2.5.1.10;2.5.1.29,1.0,1.0,True,2.5.1.1;2.5.1.10;2.5.1.29,2.5.1.10:1.0000;2.5.1.1:1.0000;2.5.1.29:1.0000;2.5.1.32:0.0000;2.5.1.103:0.0000,1.0,True,both_correct
P0DUB9,319,3.1.1.3,3,3.1.1.3,1.0,1.0,True,,3.1.1.3:0.0645;3.2.2.22:0.0047;3.1.3.2:0.0046;3.1.27.6:0.0023;3.1.30.1:0.0019,0.0,False,hitec_only
A0A348B788,351,4.2.3.7,4,4.2.3.135;4.2.3.7,0.6839137077331543,0.6666666666666666,True,,4.2.3.135:0.1720;4.2.3.43:0.0363;4.2.3.164:0.0216;4.2.3.74:0.0216;4.2.3.91:0.0197,0.0,False,hitec_only
A0A348B790,348,4.2.3.135,4,4.2.3.135,0.9999998807907104,1.0,True,,4.2.3.129:0.1951;4.2.3.91:0.1895;4.2.3.127:0.1842;4.2.3.128:0.1792;4.2.3.135:0.1738,0.0,False,hitec_only
A0A348B780,338,4.2.3.125;4.2.3.126;4.2.3.127;4.2.3.133,4,4.2.3.127;4.2.3.133,0.9923627376556396,0.6666666666666666,True,,4.2.3.165:0.4161;4.2.3.74:0.1635;2.5.1.29:0.1507;4.2.3.164:0.1498;4.2.3.135:0.1262,0.0,False,hitec_only
A0A348B782,340,4.2.3.100,4,4.2.3.128;4.2.3.212,0.9728504419326782,0.0,False,,4.2.3.164:0.2997;2.5.1.29:0.2712;4.2.3.165:0.2190;4.2.3.128:0.2118;4.2.3.129:0.2082,0.0,False,both_wrong
A0A348B784,342,4.2.3.135,4,4.2.3.135,1.0,1.0,True,4.2.3.43,4.2.3.43:0.5460;2.5.1.29:0.2191;4.2.3.91:0.2093;4.2.3.129:0.2059;4.2.3.9:0.2021,0.0,False,hitec_only
A0A2U1KZS6,709,1.6.2.4,1,1.6.2.4,1.0,1.0,True,1.6.2.4,1.6.2.4:0.9992;1.8.1.9:0.0001;2.5.1.61:0.0000;1.1.1.8:0.0000;5.3.1.6:0.0000,1.0,True,both_correct
A0A2U1LIM9,704,1.6.2.4,1,1.6.2.4,1.0,1.0,True,1.6.2.4,1.6.2.4:0.9987;1.8.1.9:0.0006;1.14.13.39:0.0000;4.1.3.44:0.0000;6.1.1.17:0.0000,1.0,True,both_correct
P0DUE2,365,2.7.7.65,2,2.7.7.65,0.9999911785125732,1.0,True,3.1.21.4,3.1.21.4:0.5565;2.7.1.33:0.0008;2.7.7.7:0.0001;3.1.21.8:0.0001;2.4.2.37:0.0001,0.0,False,hitec_only
P0DUE3,346,2.7.7.65,2,2.7.7.65,0.9999328851699829,1.0,True,3.1.21.4,3.1.21.4:0.9708;2.7.10.2:0.0086;2.7.7.1:0.0009;2.7.11.1:0.0002;2.7.7.65:0.0002,0.0,False,hitec_only
A0A5B8NIM2,262,5.4.99.5,5,5.4.99.5,0.9999998807907104,1.0,True,5.4.99.5,5.4.99.5:0.9994;5.2.1.8:0.0000;5.5.1.9:0.0000;5.3.3.2:0.0000;1.13.11.11:0.0000,1.0,True,both_correct
P0DUD9,311,3.2.2.5,3,3.2.2.5,0.9999969005584717,1.0,True,,2.7.7.65:0.0319;2.3.2.27:0.0021;3.1.21.4:0.0019;2.7.1.218:0.0006;3.4.21.88:0.0005,0.0,False,hitec_only
A0A6C0WW38,369,2.1.1.160,2,2.1.1.159,1.0,0.0,False,2.1.1.160,2.1.1.160:0.5660;2.1.1.278:0.0434;2.1.1.273:0.0290;2.1.1.158:0.0194;2.1.1.276:0.0170,1.0,True,contactec_only
A0A6C0WX00,370,2.1.1.159,2,2.1.1.159,1.0,1.0,True,,2.1.1.160:0.2075;2.1.1.273:0.0098;2.1.1.158:0.0061;2.1.1.278:0.0056;2.1.1.56:0.0036,0.0,False,hitec_only
A0A2T5Y4G4,323,3.2.2.5,3,3.2.2.5,0.9999997615814209,1.0,True,,3.4.21.88:0.0120;2.7.7.65:0.0070;3.1.21.4:0.0009;2.7.1.23:0.0006;3.6.1.40:0.0006,0.0,False,hitec_only
P0DUE0,316,3.2.2.5,3,3.2.2.5,0.9999972581863403,1.0,True,,2.7.7.65:0.0004;2.7.11.33:0.0001;2.7.4.28:0.0001;2.7.1.218:0.0000;4.2.1.104:0.0000,0.0,False,hitec_only
P0DUE1,415,3.2.2.6,3,3.2.2.6,0.9999998807907104,1.0,True,2.7.10.2,2.7.10.2:0.5321;2.7.11.1:0.1263;2.3.2.27:0.1143;2.7.11.25:0.0969;2.4.2.30:0.0426,0.0,False,hitec_only
P0DUF3,1179,2.1.1.72,2,2.7.7.7,0.0009556417353451252,0.0,False,,2.7.7.7:0.2814;6.1.1.5:0.0002;2.1.1.173:0.0001;2.1.1.264:0.0000;2.4.1.20:0.0000,0.0,False,both_wrong
P0DQP1,1202,2.1.1.72,2,2.7.7.89,0.26803407073020935,0.0,False,2.7.7.7,2.7.7.7:0.9809;2.4.1.5:0.0001;2.1.1.173:0.0001;2.1.1.264:0.0000;3.1.27.2:0.0000,0.0,False,both_wrong
P9WEY7,334,4.2.3.125;4.2.3.126;4.2.3.15;4.2.3.57,4,4.2.3.125;4.2.3.57,0.9998723268508911,0.6666666666666666,True,4.2.3.164,4.2.3.164:0.6118;4.2.3.149:0.3159;4.2.3.89:0.1727;4.2.3.151:0.1418;4.2.3.150:0.1362,0.0,False,hitec_only
P9WEY4,337,4.2.3.125;4.2.3.57,4,4.2.3.125;4.2.3.57,0.9999843835830688,1.0,True,,4.2.3.48:0.4335;4.2.3.25:0.2872;2.5.1.29:0.2371;4.2.3.9:0.2365;4.2.3.164:0.2022,0.0,False,hitec_only
P0DUG4,48,3.1.1.4,3,3.1.1.4,0.9999991655349731,1.0,True,3.1.1.4,3.1.1.4:0.9034;3.2.1.17:0.0430;3.1.1.32:0.0055;3.2.1.147:0.0031;3.2.1.14:0.0021,1.0,True,both_correct
A0A5P8DI07,597,4.2.3.131,4,4.2.3.47,0.0029346782248467207,0.0,False,,4.2.3.107:0.1469;4.2.3.119:0.0827;4.2.3.15:0.0399;4.2.3.23:0.0347;4.2.3.120:0.0252,0.0,False,both_wrong
A0A3G1QTS7,794,4.2.3.19,4,4.2.3.19,0.9991406202316284,1.0,True,,4.2.3.19:0.4195;4.2.3.103:0.1412;4.2.3.28:0.0495;4.2.3.30:0.0442;4.2.3.35:0.0383,0.0,False,hitec_only
A0A3G1QTU5,766,5.5.1.13,5,4.2.1.133,0.37258434295654297,0.0,False,,5.5.1.12:0.3445;4.2.1.133:0.0817;5.5.1.13:0.0708;4.2.3.32:0.0284;4.2.3.44:0.0259,0.0,False,both_wrong
A0A5P8DHZ6,800,5.5.1.12,5,5.5.1.12,0.9874827861785889,1.0,True,5.5.1.12;5.5.1.13,5.5.1.12:0.5588;5.5.1.13:0.5402;4.2.3.132:0.1869;4.2.3.32:0.1844;4.2.1.133:0.1515,0.6666666666666666,True,both_correct
A0A5P8DI15,711,5.5.1.13,5,4.2.1.133,0.98673415184021,0.0,False,,3.1.7.10:0.0361;2.3.2.27:0.0327;2.1.1.211:0.0132;5.99.1.3:0.0115;6.3.4.22:0.0097,0.0,False,both_wrong
A0A345BJQ0,415,2.5.1.21,2,2.5.1.21,0.9999985694885254,1.0,True,2.5.1.21,2.5.1.21:0.9984;1.3.1.96:0.0048;2.7.8.1:0.0013;1.3.1.97:0.0007;2.5.1.103:0.0004,1.0,True,both_correct
